"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","imagecode","infraspecificEpithet","typeStatus","class"
"42","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","32601",NA,"Plantae","Melastomataceae","Clidemia","urceolata","Clidemia urceolata",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10058","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032601",NA,NA,"R. Goldenberg/2008",NA,NA,NA,NA,NA,"Arbusto 1m no sol. Corola branca, cálice verde, estames brancos, tricomas avermelhados.","355","355",NA,"MBML032601",NA,NA,NA
"43","2017-09-14 11:44:15-03","MBML","MBML-HERBARIO","45819",NA,"Plantae","Compositae","Cololobus","hatschbachii","Cololobus hatschbachii",NA,"L. Kollmann; A.P.Fontana","12697","2013","05","09","Brasil","Espírito Santo","João Neiva","Morro Negro","-40.383889","-19.773889","40W23'2","19S46'26","MBML045819",NA,NA,NA,NA,NA,NA,NA,NA,"Arbusto 20cm. Rupícola ao sol, inflorescências secas","180","180",NA,"MBML045819",NA,NA,NA
"44","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","32612",NA,"Plantae","Boraginaceae","Cordia",NA,"Cordia",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10082","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032612",NA,NA,NA,NA,NA,NA,NA,NA,"Arvoreto 4m. Frutos verdes amarelados.","810","810",NA,"MBML032612",NA,NA,NA
"45","2017-09-14 11:45:15-03","MBML","MBML-HERBARIO","32620",NA,"Plantae","Euphorbiaceae","Dalechampia",NA,"Dalechampia",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10064","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032620",NA,NA,NA,NA,NA,NA,NA,NA,"Planta 2m no sol. Brácteas e flores verdes, pétalas esbranquiçadas.","355","355",NA,"MBML032620",NA,NA,NA
"46","2017-09-14 11:44:06-03","MBML","MBML-HERBARIO","32622",NA,"Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10079","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032622",NA,NA,NA,NA,NA,NA,NA,NA,"Erva 40cm na sombra. Flores lilás.","355","355",NA,"MBML032622",NA,NA,NA
"47","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32615",NA,"Plantae","Moraceae","Dorstenia","arifolia","Dorstenia arifolia",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10059","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032615",NA,NA,"M.D.M. Vianna Filho & A.F.P. Machado/25-03-2008",NA,NA,NA,NA,NA,"Erva rupestre na sombra, inflorescência vinácea.","355","355",NA,NA,NA,NA,NA
"48","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32614",NA,"Plantae","Moraceae","Dorstenia","turnerifolia","Dorstenia turnerifolia",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10066","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032614",NA,NA,"M.D.M. Vianna Filho & A.F.P. Machado/25-03-2008",NA,NA,NA,NA,NA,"Erva na sombra, inflorescência verde.","355","355",NA,NA,NA,NA,NA
"49","2017-09-14 11:49:17-03","MBML","MBML-HERBARIO","40222",NA,"Plantae","Orchidaceae","Epidendrum","ramosum","Epidendrum ramosum",NA,"A. P. Fontana; K.A. Brahim","2155","2006","06","06","Brasil","Espírito Santo","João Neiva","Cavalinhos. Torres de Transmissão. Floresta Ombrófila Densa, mata de encosta.","-40.398333","-19.711944","40W23'54","19S42'43","MBML040222",NA,NA,"A.P. Fontana/2006",NA,NA,NA,NA,NA,"Epífita, sobre árvore caída. Fruto verde","660","660",NA,NA,NA,NA,NA
"50","2019-08-12 16:59:19-03","MBML","MBML-HERBARIO","32285",NA,"Plantae","Palmae","Geonoma","elegans","Geonoma elegans",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10075","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.481944","-19.7475","40W28'55","19S44'51","MBML032285",NA,NA,"L. Kollmann/04-10-2007",NA,NA,NA,NA,NA,"Planta 2m na sombra, inflorescência velha.","355","355",NA,NA,NA,NA,NA
"51","2017-09-14 11:45:49-03","MBML","MBML-HERBARIO","32604",NA,"Plantae","Gramineae","Guadua",NA,"Guadua",NA,"L. Kollmann; A. P. Fontana & Kaio A. Brahim","10084","2007","10","04","Brasil","Espírito Santo","João Neiva","Alto Bergamo","-40.482167","-19.747722","40W28'55,8","19S44'51,8","MBML032604",NA,NA,NA,NA,NA,NA,NA,NA,"Erva 8m não formando touceira, diâmetro do gomo na base 10cm.","355","355",NA,"MBML032604_1 MBML032604_2",NA,NA,NA
