"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","coordinatePrecision","geoFlag","occurrenceRemarks","infraspecificEpithet","continentOcean","class","order","relatedCatalogItem"
"122","2019-10-02 14:53:06-03","UFMG","BHCB","87324","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.",NA,"2006","07",NA,"Tameirão Neto, E","3629","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Rio Piranga","-43.0074996948242","-20.57080078125",NA,NA,"BHCB050564","BHCB050564","Dicotyledon","16300","auto","Arbustivo; Floresta ciliar.",NA,"Southern America",NA,NA,NA
"123","2019-10-24 17:20:38-03","UFMG","BHCB","87334","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","hortensis","Cyperus hortensis","(Salzm. ex Steud.) Dorr",NA,"2019","09",NA,"Tameirão Neto, E","3639","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Rio Piranga","-43.0074996948242","-20.57080078125",NA,NA,"BHCB052224",NA,"Monocotyledon","16300","auto","Herbáceo; Margem do rio",NA,"Southern America",NA,NA,NA
"124","2019-10-02 14:54:08-03","UFMG","BHCB","87341","PreservedSpecimen","Plantae","Fabaceae","Inga","striata","Inga striata","Benth.",NA,"2011","05","17","Tameirão Neto, E","3646","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Rio Piranga","-43.0074996948242","-20.57080078125",NA,NA,"BHCB031222",NA,"Dicotyledon","16300","auto","Floresta Semidecidual",NA,"Southern America",NA,NA,NA
"125","2019-10-24 17:20:39-03","UFMG","BHCB","87333","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","surinamensis","Cyperus surinamensis","Rottb.",NA,"2019","09","24","Tameirão Neto, E","3638","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB052108",NA,"Monocotyledon","16300","auto","Herbáceo.; Margem do rio.",NA,"Southern America",NA,NA,NA
"126","2020-02-18 22:19:30-03","UFMG","BHCB","87335","PreservedSpecimen","Plantae","Amaranthaceae","Pfaffia","glabrata","Pfaffia glabrata","Mart.",NA,"2007","03",NA,"Tameirão Neto, E","3640","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim, Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB054993","BHCB054993","Dicotyledon","16300","auto","Herbáceo.; Afloramento de rocha nas margens do rio.",NA,"Southern America",NA,NA,NA
"127","2019-10-02 15:05:24-03","UFMG","BHCB","87327","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","dasyantha","Vochysia dasyantha","Warm.",NA,"2013","07",NA,"Tameirão Neto, E","3632","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB009398",NA,"Dicotyledon","16300","auto","Arbóreo; Floresta Ciliar",NA,"Southern America",NA,NA,NA
"128","2019-10-02 15:02:13-03","UFMG","BHCB","87326","PreservedSpecimen","Plantae","Rubiaceae","Chomelia",NA,"Chomelia",NA,NA,NA,NA,NA,"Tameirão Neto, E","3631","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB5310",NA,"Dicotyledon","16300","auto","Arbustivo; Floresta ciliar",NA,"Southern America",NA,NA,NA
"129","2019-10-02 14:50:34-03","UFMG","BHCB","87325","PreservedSpecimen","Plantae","Asteraceae","Mikania","pachychaeta","Mikania pachychaeta","(Baker) G.M.Barroso",NA,"2013","02",NA,"Tameirão Neto, E","3630","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,"BHCB006626",NA,"Dicotyledon","16300","auto","Plantas do Brasil. Afloramento de rocha nas margens do rio. Herbáceo.; afloramento de rocha nas margens do rio, herbáceo",NA,"Southern America",NA,NA,NA
"130","2019-10-02 14:57:15-03","UFMG","BHCB","87348","PreservedSpecimen","Plantae","Melastomataceae","Miconia","prasina","Miconia prasina","(Sw.) DC.",NA,NA,NA,NA,"Tameirão Neto, E","3653","2003","10","20","Brasil","Minas Gerais","Guaraciaba","UHE Jurumirim. Rio Piranga.","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,"Dicotyledon","16300","auto","Arbóreo. Floresta ciliar.",NA,"Southern America",NA,NA,NA
"131","2020-03-09 08:20:14-03","UFPR","UPCB","50206","PreservedSpecimen","Plantae","Melastomataceae","Miconia","albicans","Miconia albicans","(Sw.) Triana","Goldenberg, R.","2005","01","01","Barreto, R.W.","736","2004","12","17","Brasil","Minas Gerais","Guaraciaba","Sítio da família da Elisa","-43.0074996948242","-20.57080078125",NA,NA,"UPCB0015861","UPCB0015861",NA,"16300","auto","Mesma de Ditylenchus e Aphellenchoides, galha..",NA,NA,NA,NA,NA
