"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","infraspecificEpithet","class","order"
"51","2020-03-10 08:29:02-03","UFV","VIC","30271","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","budlejoides","Miconia budlejoides",NA,"Silva, A.F.; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro- Careço","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Triana",NA,NA,NA,"2554",NA,"19783","Árvore de 15m, folhas ferruginosas na face interior; frutos imaturos de cor verde e negros quando maduros.","VIC030271","auto","VIC030271",NA,NA,NA
"52","2020-03-10 08:29:02-03","UFV","VIC","30277","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,"Silva, A. .F. da; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Érvália ( Careço), trilha para o cruzeiro, em Floresta Ombófila, 1400m de alt.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"2560",NA,"19783","Árvore de 7m, folhas brlhantesem ambas as faces, frutos jeveníssimos de cor verde.","VIC030277","auto","VIC030277",NA,NA,NA
"53","2020-03-10 08:29:02-03","UFV","VIC","30279","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,"Silva, A. .F. da; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Érvália ( Careço), trilha para o cruzeiro, em Floresta Ombófila, 1400m de alt.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"2562",NA,"19783","Árvore de 5m, folhas brilhantes na face superior, frutos imaturos verdes, hipanto avermelhado internamente","VIC030279","auto","VIC030279",NA,NA,NA
"54","2020-03-10 08:29:07-03","UFV","VIC","30281","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","sebastianopolitana","Tibouchina sebastianopolitana",NA,"Silva, A.F.; et al.",NA,NA,NA,"Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, trilha da vegetação em regeneração na bifurcação para a nascente do rio Casca, 12.000m de altitude.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Raddi) Cogn.",NA,NA,NA,"2564",NA,"19783","subarbusto ereto de 0,80m, pétalas lilás-claro, anteras amarelas e filetes verdolengos","VIC030281","auto","VIC030281",NA,NA,NA
"55","2020-03-10 08:27:44-03","UFV","VIC","035393","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Tillandsia","usneoides","Tillandsia usneoides",NA,"Guarçoni, E.","2002","07","15","Brasil","Minas Gerais","Ervália","PESB, 9501 m alt.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"L.",NA,NA,NA,"352",NA,"19783","Floresta Estacional semidecidua.","VIC035393","auto","VIC035393",NA,NA,NA
"56","2020-03-10 08:27:44-03","UFV","VIC","015680","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Tillandsia","stricta","Tillandsia stricta nivea",NA,"de Paula, C.C.","1995","12","08","Brasil","Minas Gerais","Ervália","PESB, Cabeceira de Rio Casca em uma ártvore próximo a riacho.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Leme",NA,NA,NA,"1065",NA,"19783","Epífita de colônia abundante, inflorescência de brácteas brancas.","VIC015680","auto","VIC015680","nivea",NA,NA
"57","2020-03-10 08:27:38-03","UFV","VIC","015699","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis nudicaulus",NA,"de Paula, C.C.","1995","12","08","Brasil","Minas Gerais","Ervália","PESB, Cabeceira do Rio Casca.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(L.) Griseb.",NA,NA,NA,"1056",NA,"19783","Rupicola, heliófila, colônias abundantes, inflorescências de brácteas rosas, frutos vermelhos.","VIC015699","auto","VIC015699","nudicaulus",NA,NA
"58","2020-03-10 08:30:50-03","UFV","VIC","030901","PreservedSpecimen","Plantae",NA,"Solanaceae","Solanum","swartzianum","Solanum swartzianum",NA,"Silva, A.F. da","2006","04","21","Brasil","Minas Gerais","Ervália","PESB-Careço","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Roem & Schult",NA,NA,NA,"2578",NA,"19783","Árvore de 6 m, flores brancas","VIC030901","auto",NA,NA,NA,NA
"59","2020-03-10 08:29:03-03","UFV","VIC","30272","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","latecrenata","Miconia latecrenata","Goldenberg, R.","Silva, A.F.; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","P.E. Serra do Brigadeiro","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(DC.) Naudin","2206",NA,NA,"2555",NA,"19783","Árvore de 7m, flores de pétalas brancas; estames amarelos.","VIC030272","auto",NA,NA,NA,NA
"60","2020-03-10 08:29:03-03","UFV","VIC","30270","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Goldenberg, R.","Silva, A.F.; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","P.E. Serra do Brigadeiro, trilha para o cruzeiro, em Floresta Ombrófila, 1400m de alt.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Gardner","2006",NA,NA,"2553",NA,"19783","#?#Árvore de 8m, folhas brilhantes na face superior, frutos imaturos de cor verde e negros quando maduros.","VIC030270","auto",NA,NA,NA,NA
"61","2020-03-10 08:29:03-03","UFV","VIC","30282","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Goldenberg, R.","Silva, A.F.; et al.","2006","04","21","Brasil","Minas Gerais","Ervália","P.E. Serra do Brigadeiro, trilha para o cruzeiro, em Floresta Ombrófila, 1400m de atl.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Gardner","2006",NA,NA,"2565",NA,"19783","Árvore de 6 m, folhas brilhantes na face superior, frutos imaturos de cor verde e negros quando maduros.","VIC030282","auto",NA,NA,NA,NA
"62","2020-03-10 08:27:38-03","UFV","VIC","032730","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Aechmea","ramosa","Aechmea ramosa",NA,"Pereira, T.A.R.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro, Cabeceira do Rio casca","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mart. ex Schult.",NA,NA,NA,"s.n.",NA,"19783","Planta epífita de folhas longas de cerca de 2 m, escapo avermelhado, inflorescência ramificada, flores amarelo alaranjadas.","VIC032730","auto",NA,NA,NA,NA
"63","2020-03-10 08:27:38-03","UFV","VIC","032729","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Aechmea","organensis","Aechmea organensis",NA,"Pereira, T.A.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Wawra",NA,NA,NA,"s.n.",NA,"19783","Epífita, inflorescência ereta de flores com pétalas roxas e cálice avermelhado.","VIC032729","auto",NA,NA,NA,NA
"64","2020-03-10 08:27:42-03","UFV","VIC","32741","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Nidularium","rutilans","Nidularium rutilans","Coser, T.S.","Pereira, T.A.R.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do rio Casca, setor sul do Parque Estadual da Serra do Brigadeiro","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"E. Morrem","2010","03","01","s.n.",NA,"19783","Planta terrestre/epífita, inflorescência nodular, brácteas escapais vermelhas, pétalas vermelhas","VIC032741","auto","VIC032741",NA,NA,NA
