"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","typeStatus","order","individualCount","class","infraspecificEpithet","preparationType"
"11","2019-11-06 09:55:19-03","UFOP","OUPR","25949","PreservedSpecimen","Plantae","Fabaceae","Albizia","lebbeck","Albizia lebbeck","(L.) Benth.","Queiroz, R.T.","Silva-Antonio, L.; Lucon, T.","16","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto","2013","01","29",NA,"Leucena. árvorea com 4m de altura. Fruto seco utilizado para a alimentação de gado. Mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-06 09:55:44-03","UFOP","OUPR","25317","PreservedSpecimen","Plantae","Fabaceae","Zygia","selloi","Zygia selloi","(Benth.) L.Rico","Plant List","Antônio-Silva, L.; Lucon, T.","19","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto","2013",NA,NA,"Ao lado do Rio Doce","Restinga de mata ciliar. Arbórea com 2,5m. Flores aromáticas róseas. Mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-05 16:42:33-03","UFOP","OUPR","25316","PreservedSpecimen","Plantae","Anacardiaceae","Myracrodruon","urundeuva","Myracrodruon urundeuva","Allemão","Antônio-Silva, L.","Antônio-Silva, L.; Lucon, T.","18","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto","2009","10","13","Estrada de Ferro Vitória-Minas","Arbórea, ca. 5m, flores amareladas, aromáticas, heliófita. Mata ciliar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-06 09:56:18-03","UFOP","OUPR","25315","PreservedSpecimen","Plantae","Malvaceae","Pseudobombax","grandiflorum","Pseudobombax grandiflorum","(Cav.) A.Robyns","Antônio-Silva, L.; Lucon, T.","Antônio-Silva, L.; Lucon, T.","17","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto","2009","10","13","Restinga de mata ciliar ao lado esquerdo do Rio Doce (sentido Conselheiro Pena - Resplendor).","Arbórea aprox. 3m de altura. Flores brancas. Mata ciliar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-06 09:57:31-03","UFOP","OUPR","25313","PreservedSpecimen","Plantae","Rubiaceae","Randia","armata","Randia armata","(Sw.) DC.","Antônio-Silva, L.; Lucon, T.","Antônio-Silva, L.; Lucon, T.","14","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto","2009","11","10","Restinga de mata ciliar ao lado esquerdo do Rio Doce, sentido Conselheiro Pena - Resplendor","Bosta de pato; Arbusto aprox. 2m de altura, frutos amarelos com polpa preta. Mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-06 09:56:36-03","UFOP","OUPR","25314","PreservedSpecimen","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer",NA,"Silva, A.L.; Lucon, T.","15","2009","08","09","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,"Sentido Conselheiro Pena - Resplendor, Restinga de mata ciliar no lado esquerdo do Rio Doce","Cura-Madre, arbórea de aproximadamente 4m de altura, planta medicinal, fruto caramelo, sementes com arilo vermelho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-29 19:18:19-03","UTFPR","HCF","29905","S","Plantae","Vitaceae","Cissus","erosa","Cissus erosa","Rich.","E.C. Nardin","A. Pujals",NA,"2019","01","22","Brasil","MG","Conselheiro Pena","-41.484722","-19.118889",NA,NA,NA,"2019","05","13",NA,"liana. Mata nativa.",NA,"41°29'05 W","19°07'08 S","132","132",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-15 20:23:39-03","UTFPR","HCF","29630","S","Plantae","Euphorbiaceae","Croton","triqueter","Croton triqueter","Lam.","F. Marinero","F. Marinero",NA,"2019","02","11","Brasil","MG","Conselheiro Pena","-41.471111","-19.14",NA,NA,NA,"2019","05","16","Rio Doce, BR-259","arbusto 70 cm, látex amarelo. Flores alvo-esverdeadas. Vegetação secundária em estágio inicial.",NA,"41°28'16 W","19°08'24 S","121","121",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-04 12:52:31-03","UTFPR","HCF","29999","S","Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,NA,"F.F.F. Mazziero","4207","2019","01","28","Brasil","MG","Conselheiro Pena","-41.484444","-19.118611",NA,NA,NA,NA,NA,NA,NA,"planta com 1 m de altura, muito ramificada. Cinco estames amarelos, pétalas com base branca e o ápice azul escuro. Vegetação secundária média/ avançada.",NA,"41°29'04 W","19°07'07 S","134","134",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-01 11:41:39-03","UTFPR","HCF","29952","S","Plantae","Pteridaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Raddi","F.F.F. Mazziero","F.F.F. Mazziero","4187","2019","01","25","Brasil","MG","Conselheiro Pena","-41.438611","-19.174167",NA,NA,NA,"2019","02","01",NA,"erva terrícola, crescendo próximo a borda. Vegetação secundária média/avançada.",NA,"41°26'19 W","19°10'27 S","183","183",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 12:52:31-03","UTFPR","HCF","30015","S","Plantae","Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","F. Marinero","F. Marinero","1148","2019","02","11","Brasil","MG","Conselheiro Pena","-41.471111","-19.14",NA,NA,NA,"2019","03","07","Rio Doce, BR-259","arbusto 60 cm. Flor lilás, estames amarelos. Vegetação secundária em estágio inicial.",NA,"41°28'16 W","19°08'24 S","121","121",NA,NA,NA,NA,NA,NA,NA,NA
