"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode"
"92","2020-03-10 08:27:06-03","UFV","VIC","40596","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Bidens","pilosa","Bidens pilosa","L.",NA,NA,NA,NA,NA,"07","2001","12","06",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Arbusto baixo com flor amarela.","auto",NA,NA,NA,NA,NA,"VIC040596","VIC040596"
"93","2020-03-10 08:27:01-03","UFV","VIC","40620","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,NA,NA,NA,NA,NA,"15","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Arbusto com flores fechadas sem cheiro.","auto",NA,NA,NA,NA,NA,"VIC040620","VIC040620"
"94","2020-03-10 08:27:10-03","UFV","VIC","40597","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Emilia","sonchifolia","Emilia sonchifolia","(L.) DC.",NA,NA,NA,NA,NA,"25","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","flor em forma decálice vermelha e rosadas. Com presença de abelhas.","auto",NA,NA,NA,NA,NA,"VIC040597","VIC040597"
"95","2020-03-10 08:27:12-03","UFV","VIC","40616","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","maximiliani","Eupatorium maximiliani","generic SCHRADER ex DC.",NA,NA,NA,NA,NA,"45","2002","02","28",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Arbusto erva canuto, com flores roxinhas, botões abertos e fechados.","auto",NA,NA,NA,NA,NA,"VIC040616","VIC040616"
"96","2020-03-10 08:27:20-03","UFV","VIC","40618","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Tagetes","erecta","Tagetes erecta","L.",NA,NA,NA,NA,NA,"51","2002","02","28",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Flores grandes amarelas e laranjas, de odor suave.","auto",NA,NA,NA,NA,NA,"VIC040618","VIC040618"
"97","2020-03-10 08:27:18-03","UFV","VIC","40614","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Porophyllum","ruderale","Porophyllum ruderale","(Jacq.) Cass.",NA,NA,NA,NA,NA,"29","2002","01","10",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Arbusto com folhas lisas, flor parece com picão depois de aberta sem odor.","auto",NA,NA,NA,NA,NA,"VIC040614","VIC040614"
"98","2020-03-10 08:27:18-03","UFV","VIC","40598","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Sonchus","oleraceus","Sonchus oleraceus","L.",NA,NA,NA,NA,NA,"59","2002","04","04",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Apiários Mesmel, 1,8 km da estrada Viçosa Paula candido, KM 12,5.","-42.9803009033203","-20.8742008209229","13722","Erva com folhas arrolhadas, flores amarelas.","auto",NA,NA,NA,NA,NA,"VIC040598","VIC040598"
"99","2020-03-10 08:26:51-03","UFV","VIC","40613","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Allamanda","cathartica","Allamanda cathartica","L.",NA,NA,NA,NA,NA,"32","2002","01","10",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim, Ápiarios Mesmel, 1,8 Km estrada viçosa- Paula Cândido, Km 12,5.","-42.9803009033203","-20.8742008209229","13722","arbusto alto com grandes flores amarelas.","auto",NA,NA,NA,NA,NA,"VIC040613","VIC040613"
"100","2020-03-10 08:30:34-03","UFV","VIC","25258","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Mitracarpus",NA,"Mitracarpus",NA,NA,NA,NA,NA,"Teixeira, É.W.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Dejair","-42.9803009033203","-20.8742008209229","13722","Planta de ca de 1 m de altura, flor branca, sem secreção. planta 02","auto",NA,NA,NA,NA,NA,"VIC025258","VIC025258"
"101","2020-03-10 08:27:01-03","UFV","VIC","25256","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,NA,NA,NA,NA,"Teixeira, E.W.","s.n.","2000","11","14",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Dejair","-42.9803009033203","-20.8742008209229","13722","Planta, c.a. de 80 cm de altura; flor amarela, sem secreção. Planta 01.","auto",NA,NA,NA,NA,NA,"VIC025256","VIC025256"
