"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","recordNumber","dayIdentified","continentOcean","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"2897","2019-11-06 09:55:18-03","UFOP","OUPR","20303","PreservedSpecimen","Plantae","Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","Cordeiro, I.","Messias, M.C.T.B.","2006","02","03","Brasil","Minas Gerais","Mariana","Parque do Itacolomi, Margens do Córrego Domingos","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore ca. 3m, DAP 9cm, em frutos verdes. Mata ripária","auto",NA,NA,NA,"(L.) Morong","2009","11","1077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2898","2019-11-06 09:56:12-03","UFOP","OUPR","20264","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","Scalon, V.R.","Messias, M.C.T.B.",NA,NA,NA,"Brasil","Minas Gerais","Mariana","Parque do Itacolomi, Serrinha","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore ~ 5 m, em frutos maduros amarelos. Mata ripária","auto",NA,NA,NA,"A.Juss.","2009","09","1032","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2899","2019-11-06 09:57:00-03","UFOP","OUPR","20256","PreservedSpecimen","Plantae","Piperaceae","Piper",NA,"Piper","Scalon, V.R.","Sousa, H.C. de","2006","02","02","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi, Serrinha","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto. Mata.","auto",NA,NA,NA,NA,"2012","11","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2900","2019-11-05 16:43:25-03","UFOP","OUPR","22227","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","cf. smilacina","Aristolochia cf. smilacina","Messias, M.C.T.B.; Scalon, V.R.","Silva, J.L.","2006","02",NA,"Brasil","Minas Gerais","Mariana","Parque do Itacolomi, Serrinha.","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Trepadeira. Campo rupestre.","auto",NA,NA,NA,"(Klotzsch) Duch.","2009","11","s.n.","09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2901","2019-11-06 09:55:25-03","UFOP","OUPR","1423","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","desvauxii","Chamaecrista desvauxii","Dutra, V.F.","Roschel, M.B.; Silva, J.L.","1994","01","19","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Campo rupestre. Arbusto. Flores amarelas","auto",NA,NA,NA,"(Collad.) Killip","2004","10","s.n.","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2902","2019-11-06 09:55:18-03","UFOP","OUPR","21822","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","Lima, L.C.P.","Lima, L.C.P.; Silva, E.D. & Araujo, M.E.F.","2005","04","26","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"árvore 6m de altura. Fruto verde imaturo. Coletado em vale de mata","auto",NA,NA,NA,"(Benth.) Barneby & J.W.Grimes","2005","04","338","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2903","2019-11-06 09:55:18-03","UFOP","OUPR","21824","PreservedSpecimen","Plantae","Fabaceae","Abarema","langsdorffii","Abarema langsdorffii","Lima, L.C.P.","Lima, L.C.P.; Garcia, F.C.P. & Araujo, M.E.F.","2005","01","21","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore com 2m. Flores heteroformas com cálice e corola esverdeados. Filetes brancos. Fruto verde imaturo e marrom quando maduro. Semente azul e branca. Coletado em vale de mata","auto",NA,NA,NA,"(Benth.) Barneby & J.W.Grimes","2005","02","281","15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2904","2019-11-06 09:55:40-03","UFOP","OUPR","19472","PreservedSpecimen","Plantae","Fabaceae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Lima, L.C.P.","Lima, L.C.P.; Araujo, M.E.F.","2004","12","07","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"árvore com 5m. Flor avermlehada. Coletado em mata","auto",NA,NA,NA,"Mart.","2005","05","247","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2905","2019-11-06 09:55:32-03","UFOP","OUPR","21188","PreservedSpecimen","Plantae","Fabaceae","Indigofera","suffruticosa","Indigofera suffruticosa","Dutra, V.F.","Dutra, V.F.; Silva, J.L. & Thiago, P.S.S.","2003","12","10","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Campo rupestre. Sobre areia. Arbusto com 1m. Quartzítico","auto",NA,NA,NA,"Mill.","2003","12","159","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2906","2019-11-06 09:55:18-03","UFOP","OUPR","7433","PreservedSpecimen","Plantae","Fabaceae","Abarema","brachystachya","Abarema brachystachya","Borges, L.","Roschel, M.B.; Dias, S.","1994","04","30","Brasil","Minas Gerais","Mariana","Parque Estadual do Itacolomi","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Mata. Arbusto. Folha recomposta, alterna. Material estéril","auto",NA,NA,NA,"(DC.) Barneby & J.W.Grimes","2010","11","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
