"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class"
"91","2020-03-04 11:49:48-03","UFRJ","RFA","25949","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"A. Quinet",NA,"2000","12","11",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.532778","-20.206667",NA,NA,"Arbusto 3 m de altura; 13 cm de DAP; folha verde discolor, rara no local","RFA39081",NA,NA,"42º31'58''W","20º12'24''S","531","531",NA,NA,NA,NA,NA,NA
"92","2020-03-04 11:49:48-03","UFRJ","RFA","102041","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","costata","Myrcia costata","DC.","Alexandre Quinet",NA,"2000","12","11",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.5325","-20.207778",NA,NA,"Árvore, 8 m de altura, 16 cm de DAP, flores verdes, folha verde discolor, comum no local","RFA42129",NA,NA,"42º31'57''W","20º12'28''S","550","550","G.M. Barroso","2002","01","25",NA,NA
"93","2020-03-04 11:49:36-03","UFRJ","RFA","25903","Preservedecimen","Plantae",NA,NA,"Malpighiaceae","Niedenzuella",NA,"Niedenzuella",NA,"Alexandre Quinet",NA,"2000","12","07",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778",NA,NA,NA,"Trepadeira, folha verde discolor, comum no local","RFA41051",NA,NA,"42º31'40''W","20º12'78''S",NA,NA,NA,"2015",NA,NA,NA,NA
"94","2020-03-04 11:49:54-03","UFRJ","RFA","25899","Preservedecimen","Plantae",NA,NA,"Nyctaginaceae",NA,NA,NA,NA,"Alexandre Quinet","20699","2000","12","08",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778","-20.206944",NA,NA,"Arbusto, 3m de altura, 5cm de DAP, folha verde discolor e comum no local.","RFA42269",NA,NA,"42º31'40''W","20º12'25''S",NA,NA,NA,NA,NA,NA,NA,NA
"95","2020-03-04 11:49:35-03","UFRJ","RFA","26134","Preservedecimen","Plantae",NA,NA,"Lauraceae","Ocotea","odorifera","Ocotea odorifera","(Vell.) Rohwer","F. B. Pereira",NA,"2000","12","17",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.506111","-20.233333",NA,NA,"Árvore, 12m de altura, 31cm de DAP, folha verde, fruto verde.","RFA38683",NA,NA,"42º30'22''W","20º14'0''S","490","490","A. Quinet","2001","08","07",NA,NA
"96","2020-03-04 11:49:55-03","UFRJ","RFA","26321","Preservedecimen","Plantae",NA,NA,"Oleaceae",NA,NA,NA,NA,"F. M. de B. Pereira",NA,"2000","12","15",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.519444","-20.206667",NA,NA,"Arvore, 8m de altura, 17cm de DAP, folha verde, flor verde e comum no local.","RFA42331",NA,NA,"42º31'10''W","20º12'24''S",NA,NA,NA,NA,NA,NA,NA,NA
"97","2020-03-04 11:50:08-03","UFRJ","RFA","26110","Preservedecimen","Plantae",NA,NA,"Rubiaceae","Palicourea","marcgravii","Palicourea marcgravii","A.St.-Hil.","F. M. B. Pereira",NA,"2000","12","15",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.519722","-20.208056",NA,NA,"Sub-arbusto, folha verde, flor rosa, abundante no local","RFA29104",NA,NA,"42º31'11''W","20º12'29''S","600","600","M. Gomes","2001","03","16",NA,NA
"98","2020-03-04 11:50:13-03","UFRJ","RFA","25892","Preservedecimen","Plantae",NA,NA,"Sapindaceae","Paullinia",NA,"Paullinia",NA,"A.Quinet","20486","2000","12","07",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778",NA,NA,NA,"Trepadeira, flores verdes, folha verde discolor.","RFA29484",NA,NA,"42º31'40''W","20º12'78''S","492","492",NA,NA,NA,NA,NA,NA
"99","2020-03-04 11:49:41-03","UFRJ","RFA","26131","Preservedecimen","Plantae",NA,NA,"Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","F; M. B. Pereira",NA,"2000","12","17",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.505278","-20.232778",NA,NA,"Sub-arbusto, folha verde, flor rosa, comum no local","RFA37050",NA,NA,"42º30'19''W","20º13'58''S","409","409","M. G. Bovini","2001","05","20",NA,NA
"100","2020-03-04 11:49:41-03","UFRJ","RFA","26130","Preservedecimen","Plantae",NA,NA,"Malvaceae","Peltaea","trinervis","Peltaea trinervis","(C.Presl) Krapov. & Cristóbal","F.M.B. Pereira",NA,"2000","12","17",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.504444","-20.233611",NA,NA,"Subarbusto, folha verde, flor amarela, comum no local","RFA37104",NA,NA,"42º30'16''W","20º14'1''S","489","489","M.G. Bovini","2001","05","25",NA,NA
