"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus"
"906","2020-01-14 18:08:49-03","UFMG","BHCB","199965","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Scleria","distans","Scleria distans","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.377778","-19.847778",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"Poiret.",NA,NA,"7084","2019","04","10","Southern America","-43.377778","-19.847778",NA,"BHCB199965",NA,"890","890",NA,NA,NA,NA,NA
"907","2020-01-14 18:08:27-03","UFMG","BHCB","200158","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Plantaginaceae","Scoparia","dulcis","Scoparia dulcis","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.400556","-19.834167",NA,"Subarbusto; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração",NA,NA,"L.",NA,NA,"7235","2019","04","04","Southern America","-43.400556","-19.834167",NA,"BHCB200158",NA,"720","720",NA,NA,NA,NA,NA
"908","2019-10-02 14:53:21-03","UFMG","BHCB","68551","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Euphorbiaceae","Sebastiania","glandulosa","Sebastiania glandulosa","Lemos, JP","Brasil","Minas Gerais","Barão de Cocais","Pilha do Cavalo. Mina Brucutu - CVRD.",NA,"-19.885556",NA,"Arbusto com 1m de altura, em canga couraçada. Flores amarelas, frutos vermelhos, com pequenas projeções verdes.",NA,NA,"(Sw.) Müll.Arg.",NA,NA,"s.n.","2002","01","10","Southern America",NA,"-19.885556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"909","2019-10-02 14:53:21-03","UFMG","BHCB","68811","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Euphorbiaceae","Sebastiania","glandulosa","Sebastiania glandulosa","Oliveira, AM; Stehmann, JR","Brasil","Minas Gerais","Barão de Cocais","Pilha do Cavalo. Mina Brucutu - CVRD.",NA,"-19.885556",NA,"Arbusto com 1m de altura, em canga couraçada; flores amarelas, frutos vermelhos com protuberâncias verdes.",NA,NA,"(Sw.) Müll.Arg.",NA,NA,"16","2002","01","31","Southern America",NA,"-19.885556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"910","2020-02-07 18:35:48-03","UFMG","BHCB","74809","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Euphorbiaceae","Sebastiania","hispida","Sebastiania hispida","Oliveira, AM; Resck, R","Brasil","Minas Gerais","Barão de Cocais","Pilha do Cavalo. Mina Brucutu - CVRD.","-43.436136","-19.885556",NA,"Sub-arbusto.",NA,NA,"(Mart.) Pax. ex Engl.",NA,NA,"140","2002","08","09","Southern America","-43.436136","-19.885556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"911","2019-10-02 14:50:50-03","UFMG","BHCB","165923","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Senecio","pohlii","Senecio pohlii","Souza, FS; Tomich, S; Miranda, E; Machado, TM","Brasil","Minas Gerais","Barão de Cocais","Morro do Baú, Litotipo: Itabirito e itabirito dolomítico, com lentes de dolomito","-43.579722","-20.023889",NA,"Projeto Lacunas do Conhecimento.; Herbácea, Arbustivo, flores rosas.; Campo Rupestre Ferruginoso",NA,NA,"Sch.Bip. ex Baker",NA,"2016","1943","2013","02","19","Southern America","-43.579722","-20.023889",NA,"BHCB034918",NA,"1286","1286",NA,"03",NA,NA,NA
"912","2020-01-14 18:07:54-03","UFMG","BHCB","200026","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Senna","hirsuta","Senna hirsuta","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.400556","-19.834167",NA,"Arbusto; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"(L.) H.S.Irwin & Barneby",NA,NA,"7118","2019","03","28","Southern America","-43.400556","-19.834167",NA,"BHCB200026",NA,"740","740",NA,NA,NA,NA,NA
"913","2020-01-14 18:07:54-03","UFMG","BHCB","200027","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Senna","hirsuta","Senna hirsuta","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.39","-19.835278",NA,"Arbusto; Pastagem",NA,NA,"(L.) H.S.Irwin & Barneby",NA,NA,"7119","2019","04","05","Southern America","-43.39","-19.835278",NA,"BHCB200027",NA,"710","710",NA,NA,NA,NA,NA
"914","2020-01-14 18:07:54-03","UFMG","BHCB","200028","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Senna","multijuga","Senna multijuga","Ferreira, MTM","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.394444","-19.844444",NA,"Árvore; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"(Rich.) H.S.Irwin & Barneby",NA,NA,"s.n.","2018","11","07","Southern America","-43.394444","-19.844444",NA,"BHCB200028",NA,"710","710",NA,NA,NA,NA,NA
"915","2020-01-14 18:07:54-03","UFMG","BHCB","200029","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Fabaceae","Senna","multijuga","Senna multijuga","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.398333","-19.835278",NA,"Árvore; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"(Rich.) H.S.Irwin & Barneby",NA,NA,"7120","2019","04","12","Southern America","-43.398333","-19.835278",NA,"BHCB200029",NA,"670","670",NA,NA,NA,NA,NA
