"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"31","2020-02-03 10:31:08-03","UNESP-IBB","BOTU","24934","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium","A.St.-Hil.","Kollmann, L.","5794","2002","12","03",NA,"Brasil","Espirito Santo","Santa Maria de Jetibá","Belém, terreno de Olindo Kruger","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU024934",NA,"auto","Taguchi, L.E.","2016",NA,NA,NA,NA,NA,"02","05",NA,NA,NA,NA,NA
"32","2020-02-03 10:31:08-03","UNESP-IBB","BOTU","26631","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium","A.St.-Hil.","Demuner, V.","776","2000","02","24",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá",NA,"-40.7461013793945","-20.040599822998","31867",NA,"Arbusto de 5 m de altura, frutos imaturos de cor verde claro, maduro de cor vermelho","BOTU026631",NA,"auto","Amaral Jr., A.","2000",NA,NA,NA,NA,NA,"10","09",NA,NA,NA,NA,NA
"33","2020-02-03 10:31:10-03","UNESP-IBB","BOTU","24935","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","Mart.","Kollmann, L.","5947","2003","01","30",NA,"Brasil","Espirito Santo","Santa Maria de Jetibá","Belém, terreno de Paulo Seik","-40.7461013793945","-20.040599822998","31867",NA,NA,"BOTU024935",NA,"auto","Taguchi, L.E.","2016",NA,NA,NA,NA,NA,"02","05",NA,NA,NA,NA,NA
"34","2019-11-04 10:44:34-03","UFRJ","RFA","32528","Preservedecimen","Plantae",NA,NA,"Bignoniaceae","Jacaranda",NA,"Jacaranda",NA,"L. Kollmann","52","1997","07","23",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","RIo Nove, sítio do L. Kollmann.","-49.65","-19.983333",NA,NA,"Arvoreta 5,5 m de altura. Primeira ramificação a 30 cm do solo. Diâmetro na base 24 cm. Flor roxa com fundo da corola roxo-claro a branco. Crescendo no meio do café.","RFA34313",NA,NA,NA,NA,NA,"49º39'0''W","19º59'0''S","750","750",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-04 10:48:49-03","UFRJ","RFA","32550","Preservedecimen","Plantae",NA,NA,"Rubiaceae","Ferdinandusa",NA,"Ferdinandusa",NA,"L. Kollmann; et al.","1629","1999","01","20",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Rio Nove, terreno de L. Kollmann","-40.7461013793945","-20.040599822998","31867",NA,"Arvoreto 10m. Dap 10cm. Fruste 7m. Botões verdes.","RFA21262",NA,"auto",NA,NA,NA,NA,NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"36","2019-09-24 11:04:15-03","EAO","IAN","194465","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Ferdinandusa","edmundoi","Ferdinandusa edmundoi","Sucre","Anunciação, EA; Kollmann, L","988","2001","03","08","Southern America","Brasil","Espírito Santo","Santa Maria de Jetibá","Rio Nove, ramal de acesso à propriedade do Ludovick","-40.7461013793945","-20.040599822998","31867",NA,"Árvore ca. 4 m alt. Flores com cálice e tubo da corola verdes, lobos da corola alvos, filetes alvos, anteras castanhas","IAN194465",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-02-10 11:45:46-02","BM","SOLANACEAE_SOURCE_BR","96288","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","velutina","Aureliana velutina","Sendtn.","Giacomin, L.L.; Machado, T.M.; Souza, F.S.; Giudicelli, G.C.","1197","2011","02","03","Southern America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas, propiedade de Sr. Kuzanskji, trilha do Muriqui","-40.726389","-20.069444",NA,NA,"arbusto ereto; pétalas alvas com manchas verdes; em subosque da floresta ombrófila","BM001120406",NA,NA,"Knapp, S.","2014",NA,"-40.726389","-20.069444","949","949","01","01","Dicotyledoneae",NA,NA,NA,NA
"38","2015-02-10 11:45:46-02","BM","SOLANACEAE_SOURCE_BR","96288","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","velutina","Aureliana velutina","Sendtn.","Giacomin, L.L.; Machado, T.M.; Souza, F.S.; Giudicelli, G.C.","1197","2011","02","03","Southern America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas, propiedade de Sr. Kuzanskji, trilha do Muriqui","-40.726389","-20.069444",NA,NA,"arbusto ereto; pétalas alvas com manchas verdes; em subosque da floresta ombrófila",NA,NA,NA,"Knapp, S.","2014",NA,"-40.726389","-20.069444","949","949","01","01","Dicotyledoneae","148034",NA,NA,NA
"39","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","96247","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","campaniforme","Solanum campaniforme","Roem. & Schult.","Giacomin, L.L.; Machado, T.M.; Souza, F.S.; Giudicelli, G.C.","1192","2011","02","03","Southern America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas, propriedade do St. Kuzanski, entrada para a captação de agua","-40.723056","-20.070556",NA,NA,"arvoreta; flores alvas; frutos verdes; as margens de floresta ombrófila degradada","BM001120467",NA,NA,"Giacomin, L.L.","2012",NA,"-40.723056","-20.070556","869","869","01","01","Dicotyledoneae",NA,NA,NA,NA
"40","2015-02-10 11:46:04-02","BM","SOLANACEAE_SOURCE_BR","96247","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","campaniforme","Solanum campaniforme","Roem. & Schult.","Giacomin, L.L.; Machado, T.M.; Souza, F.S.; Giudicelli, G.C.","1192","2011","02","03","Southern America","Brazil","Espírito Santo","Santa Maria de Jetibá","Rio das Farinhas, propriedade do St. Kuzanski, entrada para a captação de agua","-40.723056","-20.070556",NA,NA,"arvoreta; flores alvas; frutos verdes; as margens de floresta ombrófila degradada",NA,NA,NA,"Giacomin, L.L.","2012",NA,"-40.723056","-20.070556","869","869","01","01","Dicotyledoneae","147889",NA,NA,NA
