"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"65","2019-11-06 09:57:41-03","UFOP","OUPR","30085","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Schwenckia","americana","Schwenckia americana hirta","(Klotzsch) Carvalho","Cândido, E.S.","Badini, J.","s.n.","1974","12","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira da estrada.",NA,NA,"2012","04","14401","auto","17","hirta",NA,NA
"66","2019-11-06 09:57:41-03","UFOP","OUPR","30083","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Schwenckia","americana","Schwenckia americana hirta","(Klotzsch) Carvalho",NA,"Badini, J.","s.n.","1974","12","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Erva. Flores azuis violáceae. Beira da estrada",NA,NA,NA,NA,"14401","auto",NA,"hirta",NA,NA
"67","2019-11-06 09:55:40-03","UFOP","OUPR","5364","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Stylosanthes",NA,"Stylosanthes",NA,"Badini, J.","Badini, J.","s.n.","1974","12","12",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,NA,NA,"1974","12","14401","auto","12",NA,NA,NA
"68","2018-10-26 11:47:50-03","Cenargen","CEN","11087","S","Plantae",NA,NA,"Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem","Antônio Costa Allem","3392","1986","02","20",NA,"Brasil","MG","ACAIACA","40 km a SE de Mariana, ao longo da rodovia BR-356, rumo a Ponte Nova.","-43","-20.41667","-43.00000","-20.41667","640","640","Exsicatas","Esparso pubescente, floração jovem. Oculto na capoeira à beira da estrada, onde pouco sobressai da vegetação ruderal, ali predominando o capim gordura. Placa assinala km 41 da rodovia. Muito capim gordura na beira da mata.","CEN00011087","CEN00011087",NA,NA,NA,NA,NA,NA,"2",NA
"69","2019-11-13 11:30:55-03","USP","SPF","169226","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","Groppo, M","Badini, J","s.n.","1974","04","19",NA,"Brasil","Minas Gerais","Acaiaca","Mata.","-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore. Flores róseas com pêlos brancos na parte interna da corola.","SPF00169226",NA,"2004",NA,"14401","auto",NA,NA,NA,NA
"70","2019-10-07 09:32:11-03","UEFS","HUEFS","198030","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Stigmaphyllon","saxicola","Stigmaphyllon saxicola","C.E.Anderson","R.F.Almeida","Badini, J.","24261OUPR","1980","05","21",NA,"Brasil","Minas Gerais","Acaiaca","Beira da estrada.","-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,"HUEFS0198030","HUEFS0198030","2013","11","14401","auto",NA,NA,NA,"Rosanae"
"71","2017-03-27 17:41:58-03","UnB","UB","179028","S","Plantae","Bryophyta",NA,"Pottiaceae","Oxystegus",NA,"Oxystegus",NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2186","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Talud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2017-03-27 17:41:38-03","UnB","UB","179030","S","Plantae","Bryophyta",NA,"Mniaceae","Pohlia",NA,"Pohlia",NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2188","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Talud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2017-03-27 17:42:18-03","UnB","UB","179026","S","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum",NA,"Sematophyllum",NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2184","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Tronco muerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2017-03-27 17:42:02-03","UnB","UB","179031","S","Plantae","Bryophyta",NA,"Pottiaceae","Trichostomum",NA,"Trichostomum",NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2189","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Talud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2017-03-27 17:41:26-03","UnB","UB","179025","S","Plantae","Bryophyta",NA,"Hypnaceae",NA,NA,NA,NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2183","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Tronco muerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2017-03-27 17:41:53-03","UnB","UB","179029","S","Plantae","Bryophyta",NA,"Pottiaceae",NA,NA,NA,NA,NA,"Soares, AER; García, MA; Bernabé, MJC; Fernández, JAJ","2187","2012","05","11","Southern America","Brasil","Minas Gerais","Acaiaca","pr. Acaiaca","-43.139444","-20.384444","-43.139444","-20.384444","514","514",NA,"Zona arbolada en el borde de camino. Mata de cerrado. Talud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
