"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"36","2020-03-10 08:30:42-03","UFV","VIC","19245","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Paullinia",NA,NA,"Paullinia",NA,NA,"Bortoluzzi, RLda C","21","1998","03",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","trilha de acesso à Lagoa Carioca",NA,NA,NA,NA,NA,NA,NA,"Planta trepadeira. Inflorescências variando da cor vinho a verde","VIC019245","VIC019245",NA,"12",NA,NA,NA,NA,NA,NA,NA
"37","2020-03-10 08:30:42-03","UFV","VIC","20076","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Paullinia",NA,NA,"Paullinia",NA,NA,"Bortoluzzi, RLda C","67","1998","03",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","Estrada do Restaurante",NA,NA,NA,NA,NA,NA,NA,"Liana, inflorescencia terminal. Fruto do tipo drupa, frutos mais jovens da cor ferrugem","VIC020076","VIC020076",NA,"20",NA,NA,NA,NA,NA,NA,NA
"38","2020-03-10 08:30:54-03","UFV","VIC","20585","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigonia","eriosperma",NA,"Trigonia eriosperma","(Lam.) Fromm & E. Santos",NA,"Bortoluzzi, RL da C; et al.","60","1998","03",NA,"Brasil","Minas Gerais","Parque Estadual do Rio Doce","Estrada do Restaurante",NA,NA,NA,NA,NA,NA,NA,"Planta trepadeira. Flores beges","VIC020585","VIC020585",NA,"20",NA,NA,NA,NA,NA,NA,NA
"39","2020-03-10 08:29:41-03","UFV","VIC","31084","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","fallax",NA,"Myrcia fallax","(Rich.)",NA,"Lopes, W.P.","351","1997","09",NA,"Brasil","Minas Gerais","Rio doce","Estrada de acesso ao ''Porto Capim''","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore de ca 7 m, frutos imaturos verdes.","VIC031084","VIC031084",NA,"24","14517","auto",NA,NA,NA,NA,NA
"40","2020-03-10 08:28:10-03","UFV","VIC","24806","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Commelina","benghalensis",NA,"Commelina benghalensis","L.","Barreto, R.C.","Pereira, A.A.","s.n.","2000","05",NA,"Brasil","Minas Gerais","Alto Rio Doce","Fazenda Brejetuba, de proriedade do Sr. André de Mattos","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,"A matriz (segmentos de ramos) foi coletada na procedênica supra citada, em 22/10/1999 e cultivada em vasos, em casa de vegetação da UFV. Folhas de cor verde clara, com pilosidade esbranquiçada. Flores com duas pétalas iguais em forma e","VIC024806","VIC024806","2000","23","18968","auto","06","03",NA,NA,NA
"41","2020-03-10 08:29:41-03","UFV","VIC","16222","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eriopus",NA,"Myrcia eriopus","DC.",NA,"Valente, G.E.; et al.","196","1996","08",NA,"Brasil","Minas Gerais","Rio doce","Trilha da Lagoa Carioca","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Planta de ca 2 m,em local sombreado no subbosque, indumento e brácteas marrom avermelhafo, pétalas brancas","VIC016222","VIC016222",NA,"29","14517","auto",NA,NA,NA,NA,NA
"42","2019-11-21 14:38:25-03","UFJF","CESJ","51680","PreservedSpecimen","Plantae","Angiosperma",NA,"Loranthaceae","Struthanthus",NA,NA,"Struthanthus",NA,"C.S. Caires","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1463","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"CESJ051680",NA,"2009",NA,"14517","auto","05","13",NA,NA,NA
"43","2019-11-21 14:45:08-03","UFJF","CESJ","51679","PreservedSpecimen","Plantae","Angiosperma",NA,"Smilacaceae","Smilax",NA,NA,"Smilax",NA,NA,"R.M. Castro; et al.","1462","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135 k V - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Cipó, frutos vináceos.","CESJ051679",NA,NA,NA,"14517","auto",NA,NA,NA,NA,NA
"44","2019-11-21 14:30:01-03","UFJF","CESJ","51676","PreservedSpecimen","Plantae","Angiosperma",NA,"Amaranthaceae","Pfaffia",NA,NA,"Pfaffia",NA,NA,"R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1459","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Trepadeira, flores alvas.","CESJ051676","CESJ051676",NA,NA,"14517","auto",NA,NA,NA,NA,NA
"45","2019-11-21 14:44:59-03","UFJF","CESJ","51677","PreservedSpecimen","Plantae","Angiosperma",NA,"Sapindaceae","Matayba","guianensis",NA,"Matayba guianensis","Aubl.","R.M. Castro","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1460","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore; flores cor de creme.","CESJ051677",NA,"2008",NA,"14517","auto","04",NA,NA,NA,NA
"46","2019-11-21 14:32:29-03","UFJF","CESJ","51678","PreservedSpecimen","Plantae","Angiosperma",NA,"Bignoniaceae","Pyrostegia","venusta",NA,"Pyrostegia venusta","(Ker Gawl.) Miers","A. Frazão","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1461","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Cipó; frutos verdes.","CESJ051678",NA,"2016",NA,"14517","auto","10","14",NA,NA,NA
"47","2019-11-21 14:30:02-03","UFJF","CESJ","51673","PreservedSpecimen","Plantae","Angiosperma",NA,"Amaryllidaceae",NA,NA,NA,NA,NA,NA,"R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1456","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva terrestre, flores róseas.","CESJ051673","CESJ051673",NA,NA,"14517","auto",NA,NA,NA,NA,NA
