"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"40","2019-08-16 08:38:11-03","UTFPR","HCF","27732","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","glaucescens","Hippeastrum glaucescens","R.S. Oliveira",NA,NA,"G. Hatschbach","49860","Brasil","MG","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"peredões rochosos. Flor verde, para o ápice vermelho pálido. Estilete vermelho.","auto","(Mart.) Herb.","1985","10","16",NA,"Realeza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-07-17 14:33:57-03","UFRRJ","RBR","2801","S","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","pubescens","Arrabidaea pubescens",NA,NA,NA,"Gentry, A.l.; et al.","49625","Brasil","Minas Gerais","Manhuaçu","-41.916667","-20",NA,NA,NA,NA,"(L.) A.H.Gentry","1985","01","17",NA,"Manhuaçu-Ipanema road, 41 Km S of Ipanema, alt. 550m, road-side","41º55'0''W","20º0'0''S",NA,"RBR00002801","RBR00002801",NA,NA,NA,NA,NA,NA,NA
"42","2019-07-17 14:33:57-03","UFRRJ","RBR","2945","S","Plantae",NA,NA,"Bignoniaceae","Bignonia","prieurei","Bignonia prieurei","T. A. Amorim","2018","04","A. Gentry; E. Zardini, C. Farney","49656","Brasil","Minas Gerais","Manhuaçu","-41.75","-19.666667",NA,NA,NA,NA,"DC.","1985","01","17",NA,"14 km S of Ypanema. road to Manhaçu, small forestremnat beside road.","41º45'W","19º40'S",NA,"RBR00002945","RBR00002945","27",NA,NA,NA,NA,NA,NA
"43","2019-07-17 14:33:58-03","UFRRJ","RBR","2917","S","Plantae",NA,NA,"Bignoniaceae","Cuspidaria","floribunda","Cuspidaria floribunda",NA,NA,NA,"Gentry, A.l.; et al.","49624","Brasil","Minas Gerais","Manhuaçu","-41.916667","-20",NA,NA,NA,NA,"(DC.) A.H.Gentry","1985","01","17",NA,"Ypanema road, 41 Km S of Ypanema, alt. 550m, road-side.","41º55'0''W","20º0'0''S",NA,"RBR00002917","RBR00002917",NA,NA,NA,NA,NA,NA,NA
"44","2019-07-17 14:34:00-03","UFRRJ","RBR","2934","S","Plantae",NA,NA,"Bignoniaceae","Lundia","corymbifera","Lundia corymbifera",NA,NA,NA,"A. Gentry; E. Zardini, C. Farney","49629","Brasil","Minas Gerais","Manhuaçu","-42.416667","-20.3",NA,NA,NA,NA,"(Vahl) Sandwith","1985","01","17",NA,"Weedy roadside second growth, near Abre Campus, Rio Casaca-Manhuaçu.","42º25'W","20º18'S",NA,"RBR00002934","RBR00002934",NA,NA,NA,NA,NA,NA,NA
"45","2019-07-17 14:34:00-03","UFRRJ","RBR","2933","S","Plantae",NA,NA,"Bignoniaceae","Lundia","corymbifera","Lundia corymbifera",NA,NA,NA,"A. Gentry; E. Zardini, C. Farney","49646","Brasil","Minas Gerais","Manhuaçu","-41.75","-19.666667",NA,NA,NA,NA,"(Vahl) Sandwith","1985","01","17",NA,"14 km S of Ypanema. Road to Manhaçu, small forest remnant beside road.","41º45'W","19º40'S",NA,"RBR00002933","RBR00002933",NA,NA,NA,NA,NA,NA,NA
"46","2020-02-18 10:02:01-03","UFRRJ","RBR","21376","S","Plantae",NA,NA,"Malvaceae",NA,NA,NA,NA,NA,NA,"Gentry, A; et al.","s.n.","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto",NA,"1985","01","18",NA,NA,NA,NA,NA,"RBR00021376",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-07-17 14:39:34-03","UFRRJ","RBR","26256","S","Plantae",NA,NA,"Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Somner, GV","1987","09","Gentry, AL; et al.","49652","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto","Cambess.","1985","01","17",NA,NA,NA,NA,NA,"RBR00026256",NA,"01",NA,NA,NA,NA,NA,NA
"48","2019-12-06 15:15:14-03","MBM","MBM","61781","S","Plantae",NA,NA,"Poaceae","Paspalum","regnelli","Paspalum regnelli","Davidse, G.",NA,NA,"Ramamoorthy, T.P.; et al.; et al.","11553","Brazil","Minas Gerais","João do Manhuaçu",NA,NA,NA,NA,NA,NA,"Mez",NA,NA,NA,"Southern America","19km S de São João do Manhuaçu",NA,NA,NA,"MBM061781","MBM061781",NA,NA,NA,NA,NA,NA,NA
"49","2019-12-06 14:36:00-03","MBM","MBM","54928","S","Plantae",NA,NA,"Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta",NA,NA,NA,"Shepherd, G.J.; et al.; et al.","5817","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,NA,"auto","(Ker-Gawl.) Miers","1977","09","07","Southern America","Estrada entre Manhuaçu a Vitória, km 213",NA,NA,NA,"MBM054928","MBM054928",NA,NA,NA,NA,NA,NA,NA
