"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","identifiedBy","locality","imagecode"
"13","2019-10-02 15:08:45-03","UFMG","BHCB","185788","PreservedSpecimen","Plantae","Monocotyledon","Smilacaceae","Smilax","brasiliensis","Smilax brasiliensis","Spreng.",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1161","2014","08","21","Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.256572","-19.267819","-43.256572","-19.267819","626","626","Escandente; Frutificação; Floresta estacional semidecidual","BHCB185788",NA,NA,NA,NA,NA
"14","2020-03-19 10:54:24-03","UEFS","HUEFS","231068","PreservedSpecimen","Plantae","Angiospermae","Leguminosae Subfam. Papilionoideae","Andira","ormosioides","Andira ormosioides","Benth.","2015","05",NA,"Gontijo, F.D.","1171","2014","08","21",NA,"Brasil","Minas Gerais","Dom Joaquim","-43.290833","-19.708056","43W17'27''","19S42'29''","693","693","Floresta estacional semidecidual.","HUEFS0231068","Rosanae","Fabales","L.Constâncio",NA,NA
"15","2020-02-28 13:42:04-03","UEFS","HUEFS","254618","PreservedSpecimen","Plantae","Angiospermae","Malpighiaceae","Heteropterys",NA,"Heteropterys",NA,NA,NA,NA,"Gontijo, F.D.","1145","2014","09","16",NA,"Brasil","Minas Gerais","Dom Joaquim","-43.283056","-19.604167","43W16'59''","19S36'15''","718","718","Floresta estacional semidecidual candeial.","HUEFS0254618","Rosanae","Malpighiales",NA,NA,NA
"16","2020-03-19 10:52:53-03","UEFS","HUEFS","231067","PreservedSpecimen","Plantae","Angiospermae","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga","striata","Inga striata","Benth.","2015","05",NA,"Gontijo, F.D.","1159","2014","08","21",NA,"Brasil","Minas Gerais","Dom Joaquim","-43.259167","-19.196667","43W15'33''","19S11'48''","613","613","Floresta estacional semidecidual.","HUEFS0231067","Rosanae","Fabales","L.Constâncio",NA,NA
"17","2019-12-19 09:39:01-03","UFVJM","HDJF","5862","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Albizia",NA,"Albizia",NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1992","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005862",NA,NA,NA,"Zona Rural","HDJF005862_01"
"18","2019-09-13 11:59:38-03","UFVJM","HDJF","5901","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Bauhinia","pulchella","Bauhinia pulchella","Benth.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1059","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005901",NA,NA,"Machado, ELM","Zona Rural","HDJF005901_01"
"19","2019-12-19 09:38:48-03","UFVJM","HDJF","5878","PreservedSpecimen","Plantae","Dicotyledoneae","Annonaceae","Bocagea","longepedunculata","Bocagea longepedunculata","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","553","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005878",NA,NA,"Machado, ELM","Zona Rural","HDJF005878_01"
"20","2019-12-19 09:39:19-03","UFVJM","HDJF","5888","PreservedSpecimen","Plantae","Dicotyledoneae","Salicaceae","Casearia","obliqua","Casearia obliqua","Spreng",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","913","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005888",NA,NA,NA,"Zona Rural","HDJF005888_01"
"21","2019-12-19 09:39:22-03","UFVJM","HDJF","5857","PreservedSpecimen","Plantae","Dicotyledoneae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","852","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005857",NA,NA,"Machado, ELM","Zona Rural","HDJF005857_01"
"22","2019-12-19 09:39:18-03","UFVJM","HDJF","5891","PreservedSpecimen","Plantae","Dicotyledoneae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","J.R. Perkins","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1045","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005891",NA,NA,"Machado, ELM","Zona Rural","HDJF005891_01"
