"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","relatedCatalogItem"
"59","2015-07-02 14:01:55-03","JBP","HPL","4449","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Andira","aff. legalis","Andira aff. legalis","(Vell.) Toledo","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1652","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado no sentido para São Domingos.",NA,NA,NA,NA,NA,NA,NA,"2000","10","12",NA,NA
"60","2015-07-02 14:00:14-03","JBP","HPL","401","S","Plantae",NA,NA,NA,"Annonaceae","Annona","muricata","Annona muricata","L.","H. Lorenzi","H. Lorenzi","639","1997","08","13","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Cultivado como frutifera.",NA,NA,NA,NA,NA,NA,NA,"1997","08","13",NA,NA
"61","2015-07-02 14:00:25-03","JBP","HPL","622","S","Plantae",NA,NA,NA,"Araceae","Anthurium","coriaceum","Anthurium coriaceum","G. Don","L.G. Temponi","E.R. Salviani & H. Lorenzi","1819","2000","11","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Pedra do Castelã.",NA,NA,NA,NA,NA,NA,NA,"2007","07","10",NA,NA
"62","2015-07-02 14:00:25-03","JBP","HPL","598","S","Plantae",NA,NA,NA,"Araceae","Anthurium","coriaceum","Anthurium coriaceum","G. Don","L.G. Temponi","E.R. Salviani & H. Lorenzi","1646","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Pedra Castelã",NA,NA,NA,NA,NA,NA,NA,"2007","08","10",NA,NA
"63","2015-07-02 14:42:04-03","JBP","HPL","3322","S","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia",NA,"Aristolochia",NA,NA,"H. Lorenzi","3262","2002","04","05","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na fazenda dos Lorenzoni, em beira de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2015-07-02 14:00:13-03","JBP","HPL","356","S","Plantae",NA,NA,NA,"Anacardiaceae","Astronium","macrocalyx","Astronium macrocalyx",NA,"H. Lorenzi","A.G. Ribeiro","204","1996","10","11","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996","10","11",NA,NA
"65","2015-07-02 14:00:13-03","JBP","HPL","357","S","Plantae",NA,NA,NA,"Anacardiaceae","Astronium","macrocalyx","Astronium macrocalyx","Engl.","A.G. Ribeiro","A.G. Ribeiro","203","1996","10","11","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1996","10","11",NA,NA
"66","2015-07-02 14:01:14-03","JBP","HPL","9916","S","Plantae",NA,NA,NA,"Bixaceae","Bixa","arborea","Bixa arborea",NA,"H. Lorenzi","A.G. Ribeiro","13","1996","07","17","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na estrada entre São Gabriel da Palha e Colatina.",NA,NA,NA,NA,NA,NA,NA,"1996","07","17",NA,NA
"67","2015-07-02 14:03:26-03","JBP","HPL","5809","S","Plantae",NA,NA,NA,"Nyctaginaceae","Bougainvillea","spectabilis","Bougainvillea spectabilis","Willd","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","161","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na área dos Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"68","2015-07-02 14:01:42-03","JBP","HPL","9326","S","Plantae",NA,NA,NA,"Euphorbiaceae","Brasiliocroton","mamoninha","Brasiliocroton mamoninha","P.E.Berry & Cordeiro","R. Tsuji","R. Tsuji","2035","2007","08","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na propriedade de Ademar Lorenzoni; nas proximidades do Córrego Castelã.",NA,NA,NA,NA,NA,NA,NA,"2007","08","22",NA,NA
