"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class"
"1247","2019-11-13 11:30:44-03","USP","SPF","182524","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","macrophyllus","Conchocarpus macrophyllus","J.C.Mikan","Zuntini, AR","157","2007","12","14",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da Companhia Vale do Rio Doce.","-40.0725","-19.116389","-40.0725","-19.116389",NA,"Arbusto 1 m. Cálice amarelo-amarronzado. Tubo da corola branca, lábios arroxeados na face interna.","SPF00182524",NA,NA,"El Ottra, JHL","2008","62","62",NA,"01",NA,NA,NA,NA
"1248","2019-11-13 11:30:44-03","USP","SPF","202481","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Conchocarpus","macrophyllus","Conchocarpus macrophyllus","J.C.Mikan","Pirani, JR","6078","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00202481",NA,NA,"Pirani, JR","2011","47","47",NA,NA,NA,NA,NA,NA
"1249","2019-11-13 11:18:21-03","USP","SPF","202480","PreservedSpecimen","Plantae",NA,NA,"Cucurbitaceae",NA,NA,NA,NA,"Pirani, JR","6081","2011","01","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama","-39.948389","-19.034972","-39.948389","-19.034972",NA,NA,"SPF00202480",NA,NA,NA,NA,"47","47",NA,NA,NA,NA,NA,NA
"1250","2020-01-17 11:18:07-03","USP","SPF","171176","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Dolichandra","chodatii","Dolichandra chodatii","(Hassl.) L.G.Lohmann","Zuntini, AR","21","2007","05","22",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural Vale.","-39.983333","-19.166667","-39.983333","-19.166667",NA,NA,"SPF00171176",NA,NA,"Zuntini, AR","2007","60","60",NA,"05",NA,NA,NA,NA
"1251","2020-01-17 11:18:08-03","USP","SPF","199184","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Dolichandra","unguiculata","Dolichandra unguiculata","(Vell.) L.G.Lohmann","Zuntini, AR","176","2007","12","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada Flamengo, km 9, lado esquerdo","-39.998087","-19.156393","-39.998087","-19.156393",NA,"Liana. Cálice verde. Base e ventre da corola amarelados. Dorso rosa e lábios roxos. Estames creme.","SPF00199184",NA,NA,"Zuntini, AR","2007","42","42",NA,NA,NA,NA,NA,NA
"1252","2020-01-17 11:18:08-03","USP","SPF","195204","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Dolichandra","unguis-cati","Dolichandra unguis-cati","(L.) L.G.Lohmann","Zuntini, AR","66","2007","07","23",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada do Flamengo, próximo à casa do Grobério","-39.916666","-19.166666","-39.916666","-19.166666",NA,"Liana. Estéril. Ramo cilindrico com crista interpeciolar, profilos triangulares diminutos (possivelmente caducos). Gavinha trífida unicada.","SPF00195204",NA,NA,"Zuntini, AR","2007",NA,NA,NA,NA,NA,NA,NA,NA
"1253","2019-11-13 11:14:59-03","USP","SPF","189713","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Forsteronia","leptocarpa","Forsteronia leptocarpa","(Hook. & Arn.) A.DC.","Lopes, MMM","1586","2008","04","29",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural Vale. Aceiro José Pedro.","-39.994917","-19.168417","-39.994917","-19.168417",NA,"Trepadeira a ca. 3 m alt. Exsudado pouco evidente. Folhas membranáceas, discolores. Botões com cálice e corola verdes no ápice e vináceos na base. Frutos imaturos verdes com máculas vináceas.","SPF00189713",NA,NA,"Siqueira, GS","2008","36","36",NA,"04",NA,NA,NA,NA
"1254","2020-01-21 12:08:14-03","USP","SPF","195207","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","chica","Fridericia chica","(Bonpl.) L.G.Lohmann","Zuntini, AR","152","2007","12","14",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da Companhia Vale do Rio Doce (Reserva de Linhares)BR-101, proximo ao corrego pau atravessado1Km depois da Reserva, sentido N, lado direitoPlaca CRodrigues","-40.074043","-19.141967","-40.074043","-19.141967",NA,"Liana. Calice com base verde e apice arroxeado, tubo da corola lilas.","SPF00195207",NA,NA,"Zuntini, AR","2007","53","53",NA,NA,NA,NA,NA,NA
"1255","2020-01-21 12:08:14-03","USP","SPF","195208","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","chica","Fridericia chica","(Bonpl.) L.G.Lohmann","Zuntini, AR","129","2007","12","11",NA,"Brasil","Espírito Santo","Sooretama","BR-101, sentido norte, lado direito próximo å Reserva Natural da CVRD","-40.074316","-19.142431","-40.074316","-19.142431",NA,"Liana. Folíolos discolores, Cálice com base rosa esverdeado e ápice rosa. Corola com base glabra amarelada e tubo interno esternamente rosa; lábios lilás. Anteras rosas exsertas","SPF00195208",NA,NA,"Zuntini, AR","2007","46","46",NA,NA,NA,NA,NA,NA
"1256","2020-01-21 12:08:18-03","USP","SPF","195225","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","rego","Fridericia rego","(Vell.) L.G.Lohmann","Zuntini, AR","28","2007","07","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRD (Reserva de Linhares)Borda da estrada do FlamengoMussununga, solo arenoso.","-40.066666","-19.15","-40.066666","-19.15",NA,"Liana. Ramo cilindrico, com lenticelas escuras, com crista e grupos de glandulas interpeciolares. gavinhas simples. Frutos tipo capsula com sutura longitudinal verde- clara.; Mussununga, solo arenoso","SPF00195225",NA,NA,"Zuntini, AR","2007","55","55",NA,NA,NA,NA,NA,NA
