"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","year","month","day","locality","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"31","2019-12-16 16:49:39-03","NYBG","NYBG","806611","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Cololobus","rupestris","Cololobus rupestris","H. E. Robinson","1999",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=801700 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Gardner) H.Rob.","69174","1999","05","20","Rod. BR-262, viaduto, km 161.","South America","-41.2439","-20.3683","sheet","NY00806611","NY00806611",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 18:15:54-03","NYBG","NYBG","445329","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","flava","Cuphea flava","T. B. Cavalcanti","1996","11","G. J. Shepherd","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Spreng.","5829","1977","09","07","Estrada entre Manhuaçú e Vitória, km 89","South America","-41.2439","-20.3683","sheet","NY00445329","NY00445329","1000","1000","01",NA,NA,NA,NA,NA
"33","2019-12-16 17:19:36-03","NYBG","NYBG","593551","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","frutescens","Dalbergia frutescens","V. E. Rudd","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=218153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"(Vell.) Britton","49927","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00593551","NY00593551","800","800",NA,NA,NA,NA,NA,NA
"34","2019-12-16 18:02:55-03","NYBG","NYBG","504804","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","ficifolia","Dalechampia ficifolia","G. L. Webster","1992",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lam.","50689","1986","11","06","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00504804","NY00504804",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 18:02:55-03","NYBG","NYBG","504805","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","ficifolia","Dalechampia ficifolia","G. L. Webster","1992",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=595082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Lam.","49940","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00504805","NY00504805","800","800",NA,NA,NA,NA,NA,NA
"36","2019-12-16 18:48:57-03","NYBG","NYBG","565982","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","elata","Dorstenia elata",NA,NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=740552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Hook.","49956","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00565982","NY00565982",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 18:01:11-03","NYBG","NYBG","387093","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","T. C. Plowman","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Mart.","49953","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00387093","NY00387093","900","900",NA,NA,NA,NA,NA,NA
"38","2019-12-16 18:01:11-03","NYBG","NYBG","387094","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","cuspidifolium","Erythroxylum cuspidifolium","T. C. Plowman","1988",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393804 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Mart.","50700","1986","11","06","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00387094","NY00387094",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 18:29:47-03","NYBG","NYBG","557781","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","tinguyensis","Eugenia tinguyensis","M. Sobral","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=196045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Cambess.","49914","1985","03","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00557781","NY00557781","800","800",NA,NA,NA,NA,NA,NA
"40","2019-12-16 18:29:47-03","NYBG","NYBG","1016101","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","tinguyensis","Eugenia tinguyensis","M. Sobral","1986",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141401 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Cambess.","49899","1985","10","17","Venda Nova","South America","-41.2439","-20.3683","sheet","NY01016101","NY01016101","700","700",NA,NA,NA,NA,NA,NA
