"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","infraspecificEpithet","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","relatedCatalogItem"
"5909","2016-12-19 13:51:32-02","PERD","PERD","954","S","Plantae","Poaceae","Hymenachne","amplexicaulis","Hymenachne amplexicaulis","(Rudge) Nees","Viana, PL","2008","09","03","Pivari, MO; Oliveira, VB","705","2007","12","20","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.647222","-19.806667","-42.647222","-19.806667","Erva anfíbia. Inflorescências verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA,NA
"5910","2016-12-19 13:51:32-02","PERD","PERD","842","S","Plantae","Poaceae","Hymenachne","pernambucensis","Hymenachne pernambucensis","(Spreng.) Zuloaga","Viana, PL","2008","09","06","Pivari, MO; Oliveira, VB","725","2007","12","20","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.647222","-19.806667","-42.647222","-19.806667","Erva, ca. 2,5m compr., emergente. Espiguetas roxas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA,NA
"5911","2016-12-19 13:51:24-02","PERD","PERD","561","S","Plantae","Leguminosae-Caes","Hymenaea","courbaril","Hymenaea courbaril","L.",NA,NA,NA,NA,"Bosquetti, LB","s.n.","2003","03","20","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha do Aníbal.","-42.7322006225586","-19.7122001647949",NA,NA,"Árvore com ca. de 20m de alt., com frutos verdes, floração em janeiro.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5912","2016-12-19 13:51:24-02","PERD","PERD","139","S","Plantae","Leguminosae-Caes","Hymenaea","courbaril","Hymenaea courbaril","L.",NA,NA,NA,NA,"Drumond, JG","s.n.","1993","12","29","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Viveiro","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5913","2019-07-04 16:57:25-03","PERD","PERD","1119","S","Plantae","Lamiaceae","Hyptis",NA,"Hyptis",NA,NA,NA,NA,NA,"Pivari, MOD; Costa, FM","1074","2008","08","26","Brasil","Minas Gerais","Marliéria","Lagoa Palmeirinha","-42.7322006225586","-19.7122001647949",NA,NA,"Erva sobre tronco submerso. Inflorescências verdes.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,"285","285",NA,NA,NA
"5914","2019-07-04 16:57:25-03","PERD","PERD","1103","S","Plantae","Lamiaceae","Hyptis",NA,"Hyptis",NA,NA,NA,NA,NA,"Pivari, MOD; Oliveira, VB","710","2007","12","20","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.7322006225586","-19.7122001647949",NA,NA,"Arbusto escandente, ca. 1,2m compr., anfíbio. Corola rosa.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,"264","264",NA,NA,NA
"5915","2019-07-04 16:57:25-03","PERD","PERD","1111","S","Plantae","Lamiaceae","Hyptis","microphylla","Hyptis microphylla","Pohl ex Benth.","Pivari, MO","2008","03","11","Pivari, MOD; Oliveira, VB; Ferreira, RM","953","2008","03","11","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Lagoa Dom Helvécio","-42.7322006225586","-19.7122001647949",NA,NA,"Erva, ca. 1,6m alt., anfíbia. Flores brancas.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,"255","255",NA,NA,NA
"5916","2019-07-04 16:57:25-03","PERD","PERD","1121","S","Plantae","Lamiaceae","Hyptis","microphylla","Hyptis microphylla","Pohl ex Benth.","Pivari, MO","2008","11","11","Pivari, MOD; Costa, FM; Ferreira, RM","1116","2008","11","11","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Lagoa Dom Helvécio","-42.7322006225586","-19.7122001647949",NA,NA,"Erva, ca. 0,8m alt., anfíbia. Brácteas verdes, flores rosas.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,"268","268",NA,NA,NA
"5917","2016-12-19 13:51:18-02","PERD","PERD","851","S","Plantae","Aquifoliaceae","Ilex","affinis","Ilex affinis","Gardner","Pivari, MO","2008","03","11","Pivari, MO; Oliveira, VB; Ferreira, RM","942","2008","03","11","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce - Lagoa Don Helvécio","-42.599167","-19.786389","-42.599167","-19.786389","Arvoreta, ca. 3m alt., em vegetação aquática flutuante (histossolo). Flores brancas, frutos roxos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"255","255",NA,NA,NA
"5918","2016-12-19 13:51:18-02","PERD","PERD","824","S","Plantae","Aquifoliaceae","Ilex","affinis","Ilex affinis","Gardner",NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","775","2007","12","21","Brasil","Minas Gerais","Marliéria","Lagoa do Jacaré","-42.647222","-19.806667","-42.647222","-19.806667","Árvore, ca. 5m alt., em vegetação ciliar. Flores brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"264","264",NA,NA,NA
