"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order"
"36","2019-12-06 15:03:00-03","MBM","MBM","420744","S","Plantae","Malvaceae","Gaya","Gaya domingensis","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.284722","-19.266944",NA,"MBM420744",NA,NA,"domingensis","Urban","s.n.",NA,"Marinero, F.","2019","04","23","-41.284722","-19.266944",NA,NA,"Southern America","95","95",NA,NA
"37","2019-12-06 14:24:24-03","MBM","MBM","420739","S","Plantae","Amaranthaceae","Gomphrena","Gomphrena celosioides","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.284722","-19.266944",NA,"MBM420739",NA,NA,"celosioides","Mart.(Chodat) Pedersen","s.n.","Horácio","Marinero, F.","2019","04","24","-41.284722","-19.266944",NA,NA,"Southern America","97","97",NA,NA
"38","2019-10-02 14:54:59-03","UFMG","BHCB","45554","PreservedSpecimen","Plantae","Hypericaceae","Vismia","Vismia martiana","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142",NA,NA,"auto","martiana","Mart.","2368","Serra Cascalho",NA,"2019","03",NA,NA,NA,"Arbórea; Floresta Semidecidual","Dicotyledon","Southern America",NA,NA,NA,NA
"39","2019-10-02 15:01:18-03","UFMG","BHCB","45552","PreservedSpecimen","Plantae","Peraceae","Pera","Pera glabrata","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","BHCB046889",NA,"auto","glabrata","(Schott) Poepp. ex Baill.","2366","Serra Cascalho",NA,"2018",NA,NA,NA,NA,"Arbóreo; Floresta Semidecidual","Dicotyledon","Southern America",NA,NA,NA,NA
"40","2019-10-02 15:01:40-03","UFMG","BHCB","45549","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","Bredemeyera hebeclada","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142",NA,NA,"auto","hebeclada","(DC.) J.F.B.Pastore","2363","Serra Cascalho, UHE Aimorés",NA,NA,NA,NA,NA,NA,"Campo cerrado. Arbustivo","Dicotyledon","Southern America",NA,NA,NA,NA
"41","2019-10-02 14:57:15-03","UFMG","BHCB","45545","PreservedSpecimen","Plantae","Melastomataceae","Miconia","Miconia rubiginosa","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","BHCB002810",NA,"auto","rubiginosa","(Bonpl.) DC.","2359","Serra Cascalho, UHE Aimorés",NA,"2011","02","22",NA,NA,"Transição floresta / cerrado, arbustivo","Dicotyledon","Southern America",NA,NA,NA,NA
"42","2019-10-02 14:53:36-03","UFMG","BHCB","45585","PreservedSpecimen","Plantae","Fabaceae","Calliandra","Calliandra harrisii","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","BHCB008876",NA,"auto","harrisii","(Lindl.) Benth.","2399","UHE Aimorés. Estrada para Calixto.",NA,NA,NA,NA,NA,NA,"Arbustivo.; Floresta Semidecidual.","Dicotyledon","Southern America",NA,NA,NA,NA
"43","2020-03-09 08:20:16-03","UFPR","UPCB","42881","PreservedSpecimen","Plantae","Melastomataceae","Miconia","Miconia ciliata","Tameirão Neto, E.","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","UPCB0017162","UPCB0017162","auto","ciliata","(Rich.) DC.","2358","Serra Cascalho, UHE Aimores","Goldenberg, R.","2000","01","01",NA,NA,"Arbustivo, transição floresta/cerrado..",NA,NA,NA,NA,NA,NA
"44","2020-01-31 11:24:26-03","CVRD","CVRD","9223","PreservedSpecimen","Plantae","Fabaceae","Sweetia","Sweetia fruticosa","Luz, A.A. da","2005","10","06","BRASIL","MG","Resplendor","-41.255298614502","-19.3255996704102","37142","CVRD009223",NA,"auto","fruticosa","Spreng.","303",NA,"Domingos A. Folli","2005","10","06",NA,NA,"<ll>dwc_commonname:</ll> Sucupira amarela","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Fabales"
"45","2020-01-31 11:24:21-03","CVRD","CVRD","8947","PreservedSpecimen","Plantae","Fabaceae","Dalbergia","Dalbergia nigra","Luz, A.A. da","2004","10","06","BRASIL","MG","Resplendor","-41.255298614502","-19.3255996704102","37142","CVRD008947",NA,"auto","nigra","(Vell.) Allemao ex Benth.","246",NA,"Domingos A. Folli","2004","10","06",NA,NA,"<ll>dwc_commonname:</ll> Jacarandá caviuna","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Fabales"
"46","2020-01-31 11:23:56-03","CVRD","CVRD","9262","PreservedSpecimen","Plantae","Asteraceae","Vernonanthura","Vernonanthura polyanthes","Reis, R.","2005","07","28","BRASIL","MG","Resplendor","-41.255298614502","-19.3255996704102","37142","CVRD009262",NA,"auto","polyanthes","(Spreng.) A.J. Vega & M. Dematteis","99","Estrada EFVM","Aristônio M. Teles","2015","08","12",NA,NA,"EFVM <ll>dwc_commonname:</ll> Assapeixe","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Asterales"
"47","2020-01-31 11:25:39-03","CVRD","CVRD","9199","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","Ipomoea nil","Reis, R.","2005","07","20","BRASIL","MG","Resplendor","-41.255298614502","-19.3255996704102","37142","CVRD009199",NA,"auto","nil","(L.) Roth","75","Km 248","Geovane S. Siqueira","2005","08","24",NA,NA,"Linha 1 <ll>dwc_commonname:</ll> Batata roxa","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Solanales"
"48","2020-01-31 11:23:57-03","CVRD","CVRD","9200","PreservedSpecimen","Plantae","Amaranthaceae","Amaranthus","Amaranthus spinosus","Reis, R.","2005","07","20","BRASIL","MG","Resplendor","-41.255298614502","-19.3255996704102","37142","CVRD009200",NA,"auto","spinosus","L.","78","Km 248 + 100","Geovane S. Siqueira","2005","08","24",NA,NA,"Pàtio C. Pena, Linha 3 <ll>dwc_commonname:</ll> Carirú de espinho","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Caryophyllales"
"49","2020-01-31 11:25:30-03","CVRD","CVRD","9331","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","Astronium sp.","Luz, A.A. da","2005","10","06","BRASIL","MG","RESPLENDOR","-41.255298614502","-19.3255996704102","37142","CVRD009331",NA,"auto","sp.",NA,"302",NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Gibatão","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Sapindales"
"50","2020-01-31 13:35:07-03","CVRD","CVRD","9362","PreservedSpecimen","Plantae","Fabaceae","Senegalia","Senegalia polyphylla","Luz, A.A. da","2005","04","14","BRASIL","MG","RESPLENDOR","-41.255298614502","-19.3255996704102","37142","CVRD009362",NA,"auto","polyphylla","(DC.) Britton & Rose","284",NA,"Robson D. Ribeiro","2010","04","08",NA,NA,"Coletas Revisada, por Pétalas G. Ribeiro 03/05/2013 <ll>dwc_commonname:</ll> Angico preto","Magnoliophyta","América do Sul",NA,NA,"Magnoliopsida","Fabales"
