"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","continentOcean","typeStatus","preparationType","imagecode","class","order"
"21","2015-07-02 14:55:41-03","JBP","HPL","9371","S","Plantae","Polygalaceae","Diclidanthera","laurifolia","Diclidanthera laurifolia","Mart.","V.C. Souza","2012","05","28","R. Tsuji","2081","2007","08","26","Brasil","MG","Belo Oriente","Coletado nas proximidades da estrada às margens da Lagoa do Jacaré (área da CENIBRA).","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-07-02 14:01:24-03","JBP","HPL","13629","S","Plantae","Chrysobalanaceae","Licania",NA,"Licania",NA,NA,NA,NA,NA,"R. Tsuji","2232",NA,NA,NA,"Brasil","MG","Belo Oriente","Estrada Açucena.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-07-02 14:01:26-03","JBP","HPL","10558","S","Plantae","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana",NA,"R. Tsuji","2007","09","29","R. Tsuji","2230","2007","09","29","Brasil","MG","Belo Oriente","Coletado na estrada Açucena-Belo Oriente.","-42.4836","-19.22","17433","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-03-10 08:28:51-03","UFV","VIC","10380","PreservedSpecimen","Plantae","Malpighiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Soares, M.L.V.","s.n.","1987","12","30","Brasil","Minas Gerais","Belo Oriente","Propriedade do Homero Schettino","-42.4836006164551","-19.2199993133545","17433","auto",NA,NA,NA,NA,"Arbusto de grande ocorrência na região, em forma de touceiras grandes","VIC010380",NA,NA,NA,NA,NA,NA,NA
"25","2020-02-10 17:52:54-03","UNICAMP","UEC","119614","S","Plantae","Fabaceae","Mimosa","schomburgkii","Mimosa schomburgkii","(A.DC.) Kunth","Silva, JS","2013","05","04","Valente, GE; Meira Neto, JAA; Neri, AV","841","2001","06","06","Brazil","Minas Gerais","Belo Oriente","Coletada à beirada BR.","-42.4836006164551","-19.2199993133545","17433","auto",NA,NA,NA,NA,"Árvore com ca.de 10,0 m de altura. Inflorescência terminal com flores cremes.",NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"26","2019-12-06 15:07:16-03","MBM","MBM","418829","S","Plantae","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D. Don ex Steud.","Marinero, F.","2019","04","10","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1089","2018","11","24","Brazil","Minas Gerais","Belo Oriente","Rodovia BR-381","-42.342222","-19.255556",NA,NA,"-42.342222","-19.255556","218","218",NA,"MBM418829",NA,"Southern America",NA,NA,NA,NA,NA
"27","2019-12-06 14:31:14-03","MBM","MBM","418830","S","Plantae","Asteraceae","Cyrtocymura","scorpioides","Cyrtocymura scorpioides","(Lam.) H. Rob.","Marinero, F.","2019","03","30","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1090","2018","11","24","Brazil","Minas Gerais","Belo Oriente","Rodovia BR-381","-42.342222","-19.255556",NA,NA,"-42.342222","-19.255556","218","218",NA,"MBM418830",NA,"Southern America",NA,NA,NA,NA,NA
"28","2020-02-18 22:20:41-03","UFMG","BHCB","167016","PreservedSpecimen","Plantae","Rubiaceae","Sphinctanthus","fluvii-dulcis","Sphinctanthus fluvii-dulcis","Delprete & C.H.Perss.",NA,"2012","11","30","Lorenzi, H; Melo, EA","7148","2012","02","22","Brasil","Minas Gerais","Belo Oriente","Coletado no Vale do rio Doce, na BR-381, estrada de Ipatinga sentido Governador Valadares, cerca de 29 km de Ipatinga, na frente do posto da polícia rodoviária.","-43.386389","-19.305833",NA,NA,"-43.386389","-19.305833","200","200","Arvoreta, de copa piramidal, muito ramificada, com rosetas de folhas e cachos de flores nos ápices dos ramos, folhas levemente buladas, lúcidas na face adaxial e branco-aveludadas na face abaxial, flores em cachos ou solitárias na mes","BHCB011980","Dicotyledon","Southern America","Holotypus",NA,NA,NA,NA
"29","2019-10-02 14:55:18-03","UFMG","BHCB","97536","PreservedSpecimen","Plantae","Lauraceae","Aniba","canelilla","Aniba canelilla","(Kunth) Mez",NA,NA,NA,NA,"Tameirão Neto, E","3860","2005","04","14","Brasil","Minas Gerais","Belo Oriente",NA,"-42.4836006164551","-19.2199993133545","17433","auto",NA,NA,NA,NA,"Floresta ciliar, arbóreo. Córrego do Café",NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA
"30","2019-10-02 14:48:57-03","UFMG","BHCB","97535","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex",NA,"Ilex","L.",NA,NA,NA,NA,"Tameirão Neto, E","3859","2005","04","14","Brasil","Minas Gerais","Belo Oriente",NA,"-42.4836006164551","-19.2199993133545","17433","auto",NA,NA,NA,NA,"Floresta ciliar, arbóreo. Córrego do Café",NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA
"31","2019-10-11 11:13:32-03","UFPR","UPCB","72267","PreservedSpecimen","Plantae",NA,NA,NA,NA,NA,"Tremarin, P.I.","2010","01","01","Lopes, J.M.",NA,"2009","04","16","Brasil","Minas Gerais","Belo Oriente","Rio Doce, ponto 2.","-42.4836006164551","-19.2199993133545","17433","auto",NA,NA,NA,NA,"Fitoplâncton..",NA,NA,NA,NA,NA,NA,NA,NA
