"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"245","2019-12-06 14:37:53-03","MBM","MBM","422859","S","Plantae",NA,NA,"Campanulaceae","Centropogon","cornutus","Centropogon cornutus","Barboza, E.","2019",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6229","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422859",NA,NA,"-40.87","-19.231667","(L.) Druce","06","26",NA,NA,NA,NA
"246","2019-12-06 14:52:56-03","MBM","MBM","422879","S","Plantae",NA,NA,"Gentianaceae","Chelonanthus","purpurascens","Chelonanthus purpurascens","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3492","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422879",NA,NA,"-40.793333","-19.187222","(Aubl.) Struwe, Nilson & V.A. Albert","06","26",NA,NA,NA,NA
"247","2019-12-06 15:06:40-03","MBM","MBM","422872","S","Plantae",NA,NA,"Menispermaceae","Cissampelos","andromorpha","Cissampelos andromorpha","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3485","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422872",NA,NA,"-40.799722","-19.178889","DC.","06","26",NA,NA,NA,NA
"248","2019-12-06 15:04:23-03","MBM","MBM","422909","S","Plantae",NA,NA,"Melastomataceae","Clidemia","urceolata","Clidemia urceolata","Goldenberg, R.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3522","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422909",NA,NA,"-40.793333","-19.187222","DC.",NA,NA,NA,NA,NA,NA
"249","2019-12-06 14:39:25-03","MBM","MBM","422885","S","Plantae",NA,NA,"Clusiaceae","Clusia",NA,"Clusia",NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3498","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422885",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"250","2019-12-06 14:47:26-03","MBM","MBM","422865","S","Plantae",NA,NA,"Fabaceae","Cratylia","hypargyrea","Cratylia hypargyrea","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3478","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.792778","-19.176111",NA,"400","400",NA,NA,"MBM422865",NA,NA,"-40.792778","-19.176111","Mart. ex Benth.","06","26",NA,NA,NA,NA
"251","2019-12-06 14:44:26-03","MBM","MBM","422897","S","Plantae",NA,NA,"Euphorbiaceae","Croton",NA,"Croton",NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3510","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422897",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"252","2019-12-06 14:31:15-03","MBM","MBM","422840","S","Plantae",NA,NA,"Asteraceae","Dasycondylus","resinosus","Dasycondylus resinosus","Barboza, E.","2019",NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6210","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422840",NA,NA,"-40.87","-19.231667","(Spreng.) R.M. King & H. Rob.","06","26",NA,NA,NA,NA
"253","2019-12-06 14:42:30-03","MBM","MBM","422908","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea",NA,"Dioscorea",NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3521","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422908",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"254","2019-12-06 14:42:33-03","MBM","MBM","422894","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","ovata","Dioscorea ovata","Barboza, E.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3507","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422894",NA,NA,"-40.793333","-19.187222","Vell.","06","26",NA,NA,NA,NA
"255","2019-12-06 14:37:11-03","MBM","MBM","422896","S","Plantae",NA,NA,"Bromeliaceae","Encholirium","horridum","Encholirium horridum","Taufer, M.","2019",NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3509","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422896",NA,NA,"-40.793333","-19.187222","L.B. Sm.","05","24",NA,NA,NA,NA
