"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","phylum","continentOcean","barcode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","imagecode","class","order","typeStatus"
"83","2016-12-19 13:51:20-02","PERD","PERD","867","S","Plantae","Cyperaceae","Cyperus","surinamensis","Cyperus surinamensis","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1221","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Rottb.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Inflorescência castanha.",NA,NA,NA,NA,NA
"84","2016-12-19 13:51:20-02","PERD","PERD","888","S","Plantae","Cyperaceae","Eleocharis",NA,"Eleocharis",NA,NA,NA,NA,"Pivari, MO; Oliveira, VB","1242","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,NA,"-42.563333","-19.356944",NA,NA,NA,"350","350","Erva emergente em solo arenoso. Inflorescências castanhas.",NA,NA,NA,NA,NA
"85","2016-12-19 13:51:20-02","PERD","PERD","874","S","Plantae","Cyperaceae","Eleocharis","minima","Eleocharis minima","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1228","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Kunth","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva em curso d'água. Inflorescência castanha.",NA,NA,NA,NA,NA
"86","2016-12-19 13:51:20-02","PERD","PERD","887","S","Plantae","Cyperaceae","Fuirena","umbellata","Fuirena umbellata","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1241","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Rottb.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia, ca. 1m alt., em vegetação ribeirinha. Inflorescências verdes.",NA,NA,NA,NA,NA
"87","2016-12-19 13:51:35-02","PERD","PERD","870","S","Plantae","Zingiberaceae","Hedychium","coronarium","Hedychium coronarium","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1224","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"J.Konig","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva em solo alagado, local sombreado. Flores brancas com forte odor.",NA,NA,NA,NA,NA
"88","2016-12-19 13:51:32-02","PERD","PERD","875","S","Plantae","Poaceae","Ichnanthus","pallens","Ichnanthus pallens","Viana, PL","2009","05","14","Pivari, MO; Oliveira, VB","1229","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(Sw.) Munro ex Benth.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Inflorescência verde.",NA,NA,NA,NA,NA
"89","2016-12-19 13:51:32-02","PERD","PERD","885","S","Plantae","Onagraceae","Ludwigia","lagunae","Ludwigia lagunae","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1239","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(Morong.) H. Hara","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia, ca. 1m alt., em vegetação ribeirinha. Flores amarelas, frutos avermelhados.",NA,NA,NA,NA,NA
"90","2016-12-19 13:51:32-02","PERD","PERD","876","S","Plantae","Poaceae","Panicum","schwackeanum","Panicum schwackeanum","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1230","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Mez","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Inflorescência verde.",NA,NA,NA,NA,NA
"91","2016-12-19 13:51:32-02","PERD","PERD","878","S","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1232","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"Poir.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia, ca. 1m alt., em vegetação ribeirinha. Inflorescência castanha.",NA,NA,NA,NA,NA
"92","2016-12-19 13:51:32-02","PERD","PERD","880","S","Plantae","Polygalaceae","Polygala","paniculata","Polygala paniculata","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1234","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"L.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva em vegetação ribeirinha. Flores brancas, raiz com odor.",NA,NA,NA,NA,NA
"93","2016-12-19 13:51:32-02","PERD","PERD","871","S","Plantae","Poaceae","Sacciolepis","myuros","Sacciolepis myuros","Viana, PL","2009","05","14","Pivari, MO; Oliveira, VB","1225","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(Lam.) Chase","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Inflorescência verde.",NA,NA,NA,NA,NA
"94","2016-12-19 13:51:32-02","PERD","PERD","884","S","Plantae","Ochnaceae","Salvagesia","erecta","Salvagesia erecta","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1238","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"L.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia, ca. 1m alt., em vegetação ribeirinha. Flores rosas.",NA,NA,NA,NA,NA
"95","2016-12-19 13:51:18-02","PERD","PERD","866","S","Plantae","Asteraceae","Sphagneticola","trilobata","Sphagneticola trilobata","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1220","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(L.) Pruski","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia em vegetação ribeirinha. Brácteas verdes, flores amarelas.",NA,NA,NA,NA,NA
"96","2016-12-19 13:51:32-02","PERD","PERD","879","S","Plantae","Plantaginaceae","Torenia","thouarsii","Torenia thouarsii","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1233","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(Cham. & Schltdl.) Kuntze","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva em vegetação ribeirinha. Flores rosas, frutos castanhos.",NA,NA,NA,NA,NA
"97","2016-12-19 13:51:18-02","PERD","PERD","882","S","Plantae","Asteraceae","Vernonanthura","phosphorica","Vernonanthura phosphorica","Pivari, MO","2009","02","12","Pivari, MO; Oliveira, VB","1236","2009","02","12","Brasil","Minas Gerais","Santana do Paraíso","Cachoeira do Paraíso","-42.563333","-19.356944",NA,NA,"(Vell.) H.Rob.","-42.563333","-19.356944",NA,NA,NA,"350","350","Erva anfíbia, ca. 1m alt., em vegetação ribeirinha. Flores rosas, aquênios brancos.",NA,NA,NA,NA,NA
"98","2019-10-16 14:11:52-03","UEL","FUEL","52248","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","durlandii","Pouteria durlandii",NA,NA,NA,NA,"Lorenzi, H","6732","2009","09","09","Brasil","Minas Gerais","Santana do Paraiso","coletado no distrito de Achado.","-42.5685997009277","-19.3635997772217","17033","auto","(Standl.) Baehni",NA,NA,"Tracheophyta",NA,NA,NA,NA,"Árvore, planta lactescente com tronco cilindrico de 15 cm de diametro de cor pardacenta, 4 m de alt. flores esverdeadas, frutos.",NA,NA,NA,"Ericales",NA
"99","2019-10-16 14:11:52-03","UEL","FUEL","52235","PreservedSpecimen","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,"Tsuji, R","2076","2007","08","26","Brasil","Minas Gerais","Santana do Paraíso","coletado nas proximidades da estrada para o bairro Achado.","-42.5685997009277","-19.3635997772217","17033","auto",NA,NA,NA,"Tracheophyta",NA,NA,NA,NA,"prensado em álcool.; Árvore, com tronco piramidal, madeira muito dura, ca. 5,0 m de alt. Flores botões esverdeados, frutos ausentes.",NA,NA,NA,"Ericales",NA
