"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","recordNumber","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType"
"12","2020-02-13 14:07:28-03","MN","R","236803","S","Plantae","Asteraceae","Acmella","ciliata","Acmella ciliata","Tostes, R.B.","2017","10","23","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Kunth) Cass.",NA,"R010064523,R010064524,R010064525","R010064523 R010064524 R010064525",NA,NA,NA,NA,NA,NA
"13","2020-02-13 14:07:28-03","MN","R","236806","S","Plantae","Asteraceae","Ageratum","conyzoides","Ageratum conyzoides","Tostes, R.B.","2017","09","19","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064518,R010064519","R010064518 R010064519",NA,NA,NA,NA,NA,NA
"14","2020-02-13 14:07:35-03","MN","R","236807","S","Plantae","Asteraceae","Vernonanthura","phosphorica","Vernonanthura phosphorica","Tostes, R.B.","2017","10","23","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Vell.) H. Rob.",NA,"R010064514,R010064517","R010064514 R010064517",NA,NA,NA,NA,NA,NA
"15","2020-02-13 14:13:15-03","MN","R","236930","S","Plantae","Pteridaceae","Adiantum",NA,"Adiantum","Tostes, R.B.","2019","01","09","Brasil","Minas Gerais","Piranga","Comunidade Santo Antonio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,NA,NA,"R010064937,R010064938","R010064937 R010064938",NA,NA,NA,NA,NA,NA
"16","2020-02-13 14:13:15-03","MN","R","236929","S","Plantae","Rosaceae","Rosa","chinensis","Rosa chinensis var.viridiflora","Tostes, R.B.","2019","01","15","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,NA,NA,"R010064935,R010064936","R010064935 R010064936","var.viridiflora",NA,NA,NA,NA,NA
"17","2020-02-13 14:13:32-03","MN","R","236922","S","Plantae","Solanaceae","Solanum","lucocarpum","Solanum lucocarpum","Tostes, R.B.","2019","01","08","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"A. St.-Hil.",NA,"R010064923,R010064924","R010064923 R010064924",NA,NA,NA,NA,NA,NA
"18","2020-02-13 14:13:15-03","MN","R","236776","S","Plantae","Rosaceae","Rosa","alba","Rosa alba","Tostes, R.B.","2018","12","11","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064562,R010064563","R010064562 R010064563",NA,NA,NA,NA,NA,NA
"19","2020-02-13 14:13:29-03","MN","R","236756","S","Plantae","Sapotaceae","Solanum","americanum","Solanum americanum","Tostes, R.B.","2017","08","16","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"Mill.",NA,"R010064590,R010064591","R010064590 R010064591",NA,NA,NA,NA,NA,NA
"20","2020-02-13 14:13:50-03","MN","R","236821","S","Plantae","Verbenaceae","Lantana","camara","Lantana camara","Tostes, R.B.","2017","09","14","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064497,R010064798","R010064497",NA,NA,NA,NA,NA,NA
"21","2020-02-13 14:13:55-03","MN","R","236822","S","Plantae","Vitaceae","Cissus","verticillata","Cissus verticillata","Tostes, R.B.","2017","10","13","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(L.) Nicolson & C.E. Jarvis",NA,"R010064796,R010064797","R010064796 R010064797",NA,NA,NA,NA,NA,NA
"22","2020-02-13 14:12:23-03","MN","R","236839","S","Plantae","Nyctaginaceae","Mirabilis","jalapa","Mirabilis jalapa","Tostes, R.B.","2019","01","10","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064817,R010064818","R010064817 R010064818",NA,NA,NA,NA,NA,NA
"23","2020-02-13 14:07:28-03","MN","R","236772","S","Plantae","Asteraceae","Acanthospermum","australe","Acanthospermum australe","Tostes, R.B.","2017","09","14","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Loefl.) Kuntze",NA,"R010064569,R010064570","R010064569 R010064570",NA,NA,NA,NA,NA,NA
"24","2020-02-13 14:13:29-03","MN","R","236809","S","Plantae","Sapotaceae","Solanum","paniculatum","Solanum paniculatum","Tostes, R.B.","2017","09","14","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064511,R010064516","R010064511 R010064516",NA,NA,NA,NA,NA,NA
"25","2020-02-13 14:13:52-03","MN","R","236819","S","Plantae","Verbenaceae","Stachytarpheta","cayennensis","Stachytarpheta cayennensis","Tostes, R.B.","2017","10","23","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Rich.) Vahl",NA,"R010064499,R010064500,R010064501","R010064499 R010064500 R010064501",NA,NA,NA,NA,NA,NA
"26","2020-02-13 14:13:52-03","MN","R","236836","S","Plantae","Verbenaceae","Stachytarpheta","cayennensis","Stachytarpheta cayennensis","Tostes, R.B.","2018","12","14","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"(Rich.) Vahl",NA,"R010064820,R010064825","R010064820 R010064825",NA,NA,NA,NA,NA,NA
"27","2020-02-13 14:07:50-03","MN","R","236767","S","Plantae","Brassicaceae","Lepidium","didymum","Lepidium didymum","Tostes, R.B.","2017","10","24","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,NA,NA,NA,NA,NA,"L.",NA,"R010064575,R010064576","R010064575 R010064576",NA,NA,NA,NA,NA,NA
"28","2020-02-13 14:11:40-03","MN","R","236816","S","Plantae","Malvaceae","Gossypium","barbadense","Gossypium barbadense","Tostes, R.B.","2017","09","14","Brasil","Minas Gerais","Piranga","Comunidade Santo Antônio dos Quilombolas","-43.3003005981445","-20.684700012207","23775",NA,"auto",NA,"Tostes, R.B.",NA,NA,NA,NA,"L.",NA,"R010064507,R010064502","R010064502 R010064507",NA,NA,NA,NA,NA,NA
