"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","scientificNameAuthorship","continentOcean","typeStatus","infraspecificEpithet","preparationType"
"657","2019-10-02 15:02:15-03","UFMG","BHCB","197023","PreservedSpecimen","Plantae","Rubiaceae","Coccocypselum","Coccocypselum lanceolatum","Rezende, SG; Justo, AG","6734","2018","01","24","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.7","-20.093611","-43.7","-20.093611","1376","1376","Herbáceo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB197023",NA,"Dicotyledon",NA,NA,"lanceolatum",NA,NA,NA,NA,NA,NA,NA,"(Ruiz & Pav.) Pers.","Southern America",NA,NA,NA
"658","2019-10-02 15:01:48-03","UFMG","BHCB","197790","PreservedSpecimen","Plantae","Polygonaceae","Coccoloba","Coccoloba acrostichoides","Rezende, SG; Justo, AG","6866","2018","05","30","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.49","-20.106944","-43.49","-20.106944","1345","1345","Arbusto; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração","BHCB197790",NA,"Dicotyledon",NA,NA,"acrostichoides",NA,NA,NA,NA,NA,NA,NA,"Cham.","Southern America",NA,NA,NA
"659","2019-10-02 15:02:15-03","UFMG","BHCB","143196","PreservedSpecimen","Plantae","Rubiaceae","Coccosypselum","Coccosypselum lanceolatum","Augsten, M; Stehmann, JR","696","2010","09","19","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.687319","-20.087406","-43.687319","-20.087406","1669","1669","Arbusto, flores roxas. Afloramento de canga.",NA,NA,"Dicotyledon",NA,NA,"lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"660","2019-10-02 14:53:51-03","UFMG","BHCB","181491","PreservedSpecimen","Plantae","Fabaceae","Collaea","Collaea cipoensis","Tameirão Neto, E; Mansur, T","5291","2013","07","04","Brasil","Minas Gerais","Rio Acima",NA,"-43.691422","-20.098808","-43.691422","-20.098808",NA,NA,"Arbustivo; floração coral; Campo hidromórfico",NA,NA,"Dicotyledon",NA,NA,"cipoensis",NA,NA,NA,NA,NA,NA,NA,"Fortunato","Southern America",NA,NA,NA
"661","2019-10-24 17:20:02-03","UFMG","BHCB","143173","PreservedSpecimen","Plantae","Fabaceae","Collaea","Collaea speciosa","Augsten, M; Stehmann, JR","634","2010","09","19","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.687319","-20.087406","-43.687319","-20.087406","1669","1669","Liana, flores vermelhas. Canga couraçada.",NA,NA,"Dicotyledon",NA,NA,"speciosa",NA,NA,NA,NA,NA,NA,NA,"(Loisel.) DC.","Southern America",NA,NA,NA
"662","2019-10-02 15:06:44-03","UFMG","BHCB","151848","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","Comanthera","Mendes, MS","s.n.","2010","04","16","Brasil","Minas Gerais","Rio Acima","Rio do Peixe, Região da Cava de Abóboras.","-43.868889","-20.165","-43.868889","-20.165","1407","1407","Herbáceo.; Campo rupestre sobre quartzito, área brejosa.","BHCB052070",NA,"Monocotyledon",NA,NA,NA,NA,"2019","09","24",NA,NA,NA,NA,"Southern America",NA,NA,NA
"663","2019-10-02 15:06:44-03","UFMG","BHCB","181503","PreservedSpecimen","Plantae","Eriocaulaceae","Comanthera","Comanthera","Tameirão Neto, E; Mansur, T","5303","2013","07","04","Brasil","Minas Gerais","Rio Acima",NA,"-43.683328","-20.097014","-43.683328","-20.097014",NA,NA,"Herbáceo; floração.; Campo rupestre sobre canga","BHCB038170",NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"664","2019-10-02 15:06:15-03","UFMG","BHCB","179374","PreservedSpecimen","Plantae","Commelinaceae","Commelina","Commelina","Carmo, FF","1378","2007","11","13","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.683111","-20.093806","-43.683111","-20.093806","1624","1624","Coletada em borda de capão de canga.","BHCB035897",NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"665","2019-10-02 15:06:15-03","UFMG","BHCB","179381","PreservedSpecimen","Plantae","Commelinaceae","Commelina","Commelina","Carmo, FF","1439","2007","11","13","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.683111","-20.093806","-43.683111","-20.093806","1624","1624","Coletada em capão de canga.","BHCB035880",NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"666","2019-10-02 15:06:15-03","UFMG","BHCB","197750","PreservedSpecimen","Plantae","Commelinaceae","Commelina","Commelina erecta","Rezende, SG; Justo, AG","6826","2018","05","30","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.665556","-20.1075","-43.665556","-20.1075","1564","1564","Erva terrícula; Candeial","BHCB197750",NA,"Monocotyledon",NA,NA,"erecta",NA,NA,NA,NA,NA,NA,NA,"L.","Southern America",NA,NA,NA
