"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","dayIdentified","class","relatedCatalogItem"
"3531","2017-09-14 11:43:39-03","MBML","MBML-HERBARIO","34896",NA,"Plantae",NA,NA,"Bromeliaceae","Tillandsia","stricta","Tillandsia stricta",NA,"L. Kollmann/11-11-2008",NA,NA,"A. P. Fontana; et al","4839","Brasil","Espírito Santo","Nova Venécia","Serra de Baixo, Pedra da Torre","-40.446389","-18.782778",NA,NA,NA,NA,"2008","02","18",NA,"40W26'47","18S46'58",NA,"MBML034896","MBML034896",NA,NA,NA,NA,NA,NA,NA
"3532","2020-02-19 14:10:08-03","MBML","MBML-HERBARIO","34985",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia",NA,"R.Goldenberg/Out.2008",NA,NA,"R. Goldenberg; et al","1145","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.457778","-18.7825",NA,NA,NA,NA,"2008","05","10",NA,"40W27'28","18S46'57",NA,"MBML034985","MBML034985",NA,NA,NA,NA,NA,NA,NA
"3533","2020-02-19 14:10:08-03","MBML","MBML-HERBARIO","35335",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia",NA,"R.Goldenberg/Out.2008",NA,NA,"A. M. Amorim; et al","7429","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.457778","-18.766944",NA,NA,NA,NA,"2008","05","10",NA,"40W27'28","18S46'1",NA,"MBML035335","MBML035335",NA,NA,NA,NA,NA,NA,NA
"3534","2020-02-19 14:10:08-03","MBML","MBML-HERBARIO","36101",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia",NA,"R.Goldenberg/2009",NA,NA,"A. M. Amorim; et al","7524","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,NA,NA,"2008","07","17",NA,"40W26'38","18S46'37",NA,"MBML036101","MBML036101","400","400",NA,NA,NA,NA,NA
"3535","2020-02-19 14:10:08-03","MBML","MBML-HERBARIO","34939",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","heteromalla","Tibouchina heteromalla",NA,"R. Goldenberg/17/11/2008",NA,NA,"A. P. Fontana; et al","4832","Brasil","Espírito Santo","Nova Venécia","Serra de Baixo, Pedra da Torre","-40.446389","-18.782778",NA,NA,NA,NA,"2008","02","18",NA,"40W26'47","18S46'58",NA,"MBML034939","MBML034939_1 MBML034939_2",NA,NA,NA,NA,NA,NA,NA
"3536","2020-02-19 14:10:08-03","MBML","MBML-HERBARIO","37490",NA,"Plantae",NA,NA,"Melastomataceae","Tibouchina","heteromalla","Tibouchina heteromalla",NA,"L.Kollmann/10-07-2009",NA,NA,"P. Labiak; P.B.Schawartsburd, A.P.Fontana & L.J.C.Kollmann.","5108","Brasil","Espírito Santo","Nova Venécia","APA da Pedra do Elefante. Afloramento rochoso à direita na subida para a Pedra do Elefante. Afloramento rochoso.","-40.4475","-18.770278",NA,NA,"Arbusto lenhoso, em local exposto ao sol. Flores violáceas.",NA,"2009","01","14",NA,"40W26'51","18S46'13",NA,"MBML037490","MBML037490","300","300",NA,NA,NA,NA,NA
"3537","2017-09-14 11:47:05-03","MBML","MBML-HERBARIO","34366",NA,"Plantae",NA,NA,"Lentibulariaceae","Utricularia",NA,"Utricularia",NA,NA,NA,NA,"A. P. Fontana; et al","4840","Brasil","Espírito Santo","Nova Venécia","Serra de Baixo, Pedra da Torre","-40.446389","-18.782778",NA,NA,NA,NA,"2008","02","18",NA,"40W26'47","18S46'58",NA,"MBML034366","MBML034366",NA,NA,NA,NA,NA,NA,NA
"3538","2017-09-14 11:43:34-03","MBML","MBML-HERBARIO","34351",NA,"Plantae",NA,NA,"Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata",NA,"A.P. Fontana/09-05-2008",NA,NA,"A. P. Fontana; et al","5219","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.45","-18.8",NA,NA,NA,NA,"2008","05","09",NA,"40W26'60","18S48'0",NA,"MBML034351","MBML034351",NA,NA,NA,NA,NA,NA,NA
"3539","2017-09-14 11:43:34-03","MBML","MBML-HERBARIO","37485",NA,"Plantae",NA,NA,"Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata",NA,"T.S. Coser/22-06-2011",NA,NA,"P. Labiak; P.B.Schawartsburd, A.P.Fontana & L.J.C.Kollmann.","5094","Brasil","Espírito Santo","Nova Venécia","APA da Pedra do Elefante. Afloramento rochoso à direita na subida para a Pedra do Elefante. Afloramento rochoso.","-40.4475","-18.770278",NA,NA,"Epífita na matinha do topo do morro.",NA,"2009","01","14",NA,"40W26'51","18S46'13",NA,"MBML037485","MBML037485","300","300",NA,NA,NA,NA,NA
"3540","2017-09-14 11:43:34-03","MBML","MBML-HERBARIO","41666",NA,"Plantae",NA,NA,"Bromeliaceae","Tillandsia","recurvata","Tillandsia recurvata",NA,"L.Kollmann/01-03-2012",NA,NA,"A. M. Assis; V. G. Demuner","1528","Brasil","Espírito Santo","Nova Venécia","Serra de Cima (Torre 101/1 - LT 230 Kv Mascarenhas x Verona)","-40.479722","-18.313889",NA,NA,"Epífita. Frutos marrons. Afloramento Rochoso",NA,"2008","04","25",NA,"40W28'47","18S18'50",NA,"MBML041666","MBML041666","120","120",NA,NA,NA,NA,NA
