"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","relatedCatalogItem"
"147","2020-03-10 08:26:49-03","UFV","VIC","19604","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Xylopia","aromatica","Xylopia aromatica","(Lam.) Mart.",NA,"Souza, P.B.; et al.","s.n.","2006","04","11",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do Parque Estadual do Rio Doce. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 6,5 metros de altura; folhas verdes, pétalas brancas.","VIC019604","VIC019604",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"148","2020-03-10 08:28:31-03","UFV","VIC","19597","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Pera",NA,"Pera",NA,NA,"Souza, P.B.; et al.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de amortecimento do PERD. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 11 metros de altura. (Pau-de-sapateiro).","VIC019597","VIC019597",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"149","2020-03-10 08:28:31-03","UFV","VIC","19598","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Pera",NA,"Pera",NA,NA,"Souza, P.B.; et al.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de amortecimento do PERD. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 14 metros de altura. (Pau-de-sapateiro).","VIC019598","VIC019598",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"150","2020-03-10 08:28:08-03","UFV","VIC","19670","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","octandra","Licania octandra","(Hoffmanns. ex Roem. & Schult.) Kuntze","Prance, G.T.","Souza, P.B.; et al.","s.n.","2006","04","11",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do PERD. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea, c.a. de 7,5 metros de altura.","VIC019670","VIC019670",NA,"2007","31394","auto","07","24",NA,NA,NA,NA,NA,NA
"151","2020-03-10 08:27:50-03","UFV","VIC","19664","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Cassia","ferruginea","Cassia ferruginea","(SCHRADER) SCHRADER ex DC",NA,"Souza, P.B.; et al.","s.n.","2006","04","11",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do PERD. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 9,0 metros.","VIC019664","VIC019664",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"152","2020-03-10 08:28:08-03","UFV","VIC","19671","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","Hook. f.","Prance, G.T.","Souza, P.B.","s.n.","2006","04","11",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento do PERD. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea de 8,0 metros de altura.","VIC019671","VIC019671",NA,"2007","31394","auto","07","24",NA,NA,NA,NA,NA,NA
"153","2020-03-10 08:27:47-03","UFV","VIC","19665","PreservedSpecimen","Plantae",NA,NA,"Caesalpinioideae","Apuleia","leiocarpa","Apuleia leiocarpa","(Vogel) J.F. Macbr.",NA,"Souza, P.B.; et al.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de amortecimento; Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea, c.a. de 10 metros de altura.","VIC019665","VIC019665",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"154","2020-03-10 08:28:08-03","UFV","VIC","19672","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","rufa","Couepia rufa","Ducke","Prance, G.T.","Souza, P.B.; et al.","s.n.","2006","04","11",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento (Mata do Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre; arbórea, c.a. de 7,0 metros de altura.","VIC019672","VIC019672",NA,"2007","31394","auto","07","24",NA,NA,NA,NA,NA,NA
"155","2020-03-10 08:28:31-03","UFV","VIC","19596","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Mart.",NA,"Souza, P.B.; et al.","s.n.","2006","04","13",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Zona de Amortecimento. Mata do Mombaça.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Terrestre. Arbórea, c.a. de 9,0 metros.","VIC019596","VIC019596",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
"156","2020-03-10 08:26:54-03","UFV","VIC","028656","PreservedSpecimen","Plantae",NA,NA,"Araceae","Syngonium","vellozianum","Syngonium vellozianum","Schott",NA,"Temponi, L.G.; et al.","134","2000","08","14",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce, Trilha da garapa torta.","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Hemiepífita de caule acinzentado de 1,35 cm de diâmetro, peciolo verde e lâmina levemente discolor, simpodio floral 5, frutos imaturos , botões e flores velhas masculinas amarronzadas, espata amarela, látex.","VIC028656","VIC028656",NA,NA,"31394","auto",NA,NA,NA,NA,NA,NA,NA,NA
