"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","barcode","locality","imagecode","dayIdentified","continentOcean","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"14","2019-06-27 10:26:19-03","UFES","VIES","29208","S","Plantae",NA,NA,"Piperaceae","Piper","rivinoides","Piper rivinoides","Kunth","E.F. Guimarães","2011",NA,"Sarnaglia-Jr., V.B.",NA,NA,"Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","408",NA,"VIES029208","Cinco Pontões. Floresta e Afloramento Rochoso.","VIES029208",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-09-27 18:06:22-03","UFES","VIES","24041","S","Plantae",NA,NA,"Sapindaceae","Alatococcus","siqueirae","Alatococcus siqueirae","Acev.-Rodr.","P. Acevedo-Rodriguez","2012","03","Folli, D.A.","1992","12","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","1761","17","VIES024041","Lado direito da estrada de Joatuba a Laranja da Terra.","VIES024041","09",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-07-17 14:38:54-03","UFRRJ","RBR","12292","S","Plantae",NA,NA,"Monimiaceae","Siparuna","guianensis","Siparuna guianensis","Aubl.","Pereira-Moura, MVL","2004","10","Souza, V","1992","03","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","314","12","RBR00012292","Próxima ao rio São Domingos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-07-17 14:39:02-03","UFRRJ","RBR","16861","S","Plantae",NA,NA,"Myrtaceae","Marlierea","gardneriana","Marlierea gardneriana","(O.Berg) Nied.",NA,NA,NA,"Folli, DA","1983","04","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","443","20","RBR00016861","Reserva Florestal da CRVD, Estrada farinha seca, antiga 221, km 1,226 , lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-06 14:36:08-03","MBM","MBM","201696","S","Plantae",NA,NA,"Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","(Vell.) Bur. ex Verlot","Hatschbach, G.",NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","1996","07","Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65280","08","MBM201696","Ca. 10km da rodovia para Afonso Cláudio","MBM201696",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"19","2019-12-06 14:53:38-03","MBM","MBM","169411","S","Plantae",NA,NA,"Gesneriaceae","Nematanthus","kautskyi","Nematanthus kautskyi","Chautems","Kautsky, R.",NA,NA,"Hatschbach, G.",NA,NA,"Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","61203",NA,"MBM169411","Laranja da Terra","MBM169411",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"20","2019-12-06 14:48:35-03","MBM","MBM","201063","S","Plantae",NA,NA,"Fabaceae","Inga","vera","Inga vera affinis","(DC.) T.D. Pennington","Pennington, T.D.",NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.",NA,NA,"Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65275",NA,"MBM201063","Rio Guandu, próximo a São João","MBM201063",NA,"Southern America","affinis",NA,NA,NA,NA,NA,NA
"21","2019-12-06 15:19:52-03","MBM","MBM","203324","S","Plantae",NA,NA,"Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(St. Hil.) Engl.","Pirani, J.R.",NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.",NA,NA,"Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65271",NA,"MBM203324","Rodovia para Afonso Cláudio, km 10-15","MBM203324",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"22","2019-12-06 14:22:51-03","MBM","MBM","198468","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","1996","07","Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"Árvore, 12m. Floresta atlântica","auto","65270","08","MBM198468","Km 10-15 da rodovia para Afonso Cláudio","MBM198468",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"23","2019-12-06 14:45:56-03","MBM","MBM","201068","S","Plantae",NA,NA,"Fabaceae","Acacia","polyphylla","Acacia polyphylla giganticarpa","G.P. Lewis","Barneby, R.",NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.",NA,NA,"Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65279",NA,"MBM201068","Laranja da Terra, km 10-15 da rodovia para Afonso Cláudio","MBM201068",NA,"Southern America","giganticarpa",NA,NA,NA,NA,NA,NA
"24","2019-12-06 15:17:06-03","MBM","MBM","195808","S","Plantae",NA,NA,"Pteridaceae","Adiantum","deflectens","Adiantum deflectens","Mart.","Smith, A.R.",NA,NA,"Hatschbach, G.; Silva, J.M.; Deodato, F.; Silva, J.M.; Deodato, F.","1996","07","Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65277","08","MBM195808","Rodovia para Afonso Cláudio, km 12-15","MBM195808",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"25","2019-12-06 14:37:04-03","MBM","MBM","195453","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","ramosa","Aechmea ramosa","Mart. ex Schultes f.","Costa, A.",NA,NA,"Hatschbach, G.; Barboza, E.; Barboza, E.","1996","07","Brazil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65278","08","MBM195453","Rio Guadu, próximo a São João","MBM195453",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
