"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"3193","2019-10-02 14:56:57-03","UFMG","BHCB","67961","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Leandra","lacunosa","Leandra lacunosa","Cogn.",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2685",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3194","2019-10-02 15:01:46-03","UFMG","BHCB","72370","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","oxyphylla","Polygala oxyphylla","DC.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"6292",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3195","2019-10-02 14:51:55-03","UFMG","BHCB","58645","PreservedSpecimen","Plantae","Dicotyledon",NA,"Campanulaceae","Siphocampylus","westinianus","Siphocampylus westinianus","(Thunb.) Pohl",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2202",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3196","2019-10-02 14:51:55-03","UFMG","BHCB","58646","PreservedSpecimen","Plantae","Dicotyledon",NA,"Campanulaceae","Siphocampylus","westinianus","Siphocampylus westinianus","(Thunb.) Pohl",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2205",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3197","2019-10-02 14:56:32-03","UFMG","BHCB","65199","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Sida","macrodon","Sida macrodon","DC.",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"8049",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3198","2019-10-02 14:52:42-03","UFMG","BHCB","37527","PreservedSpecimen","Plantae","Dicotyledon",NA,"Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta","(Schott) Planch. ex Benth.",NA,"2018",NA,NA,"Costa, LV","1997","04",NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,"BHCB020327",NA,NA,NA,NA
"3199","2019-10-02 14:54:49-03","UFMG","BHCB","62458","PreservedSpecimen","Plantae","Dicotyledon",NA,"Gentianaceae","Calolisianthus","speciosus","Calolisianthus speciosus","(Cham. & Schltdl.) Gilg",NA,"2010","12",NA,"Barreto, HLM","1933","12","01","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Herbácea 0,30, flor azul. Pouco frequente.; Cerrado.","auto",NA,NA,NA,NA,NA,"2858",NA,NA,"Southern America",NA,"BHCB046630",NA,NA,NA,NA
"3200","2019-10-02 15:05:49-03","UFMG","BHCB","21408","PreservedSpecimen","Plantae","Monocotyledon",NA,"Amaryllidaceae","Hippeastrum",NA,"Hippeastrum","Herb.",NA,NA,NA,NA,"Lombardi, JA; Tolêdo, FRN","1993","05","19","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3201","2019-10-02 14:51:53-03","UFMG","BHCB","192","PreservedSpecimen","Plantae","Dicotyledon",NA,"Campanulaceae","Lobelia","exaltata","Lobelia exaltata","Pohl",NA,NA,NA,NA,NA,"1960",NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","-rabo de raposa;herbáceo;","auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3202","2019-10-02 15:05:54-03","UFMG","BHCB","54924","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Anthurium","scandens","Anthurium scandens","Engl.",NA,NA,NA,NA,"Barreto, HLM","1934","05","06","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Arbusto. Dimensão: 0,50. Muita frequência; Campo","auto",NA,NA,NA,NA,NA,"923",NA,NA,"Southern America",NA,"BHCB037011","BHCB037011",NA,NA,NA
